Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSMUSG00000000317	4.216229	2.383201	13.554361	0.868068	4.014856	0.610259	18.121347	4.059636	0.590334
ENSMUSG00000000318	1.678718	1.118388	8.883631	0.686105	2.294001	1.341469	8.3833	6.150628	0.175429
ENSMUSG00000000320	2.233008	4.67454	3.001894	0.385179	0.417846	0.594103	11.020951	16.465011	0.211832
ENSMUSG00000000325	15.843395	5.887218	4.230443	26.723195	5.550816	3.069343	21.056637	36.511288	6.043075
ENSMUSG00000000326	209.341629	8.190264	112.789139	106.267612	34.417231	81.995071	78.433104	64.963973	735.399678
ENSMUSG00000000339	18.834389	70.431249	14.849675	52.76472	18.052232	19.684903	25.671373	22.176359	6.419504
ENSMUSG00000000340	43.363114	2.993644	17.489269	13.425209	14.895008	5.424475	6.983331	10.535594	26.908243
ENSMUSG00000000346	173.70664	64.509693	229.575499	91.889746	38.201859	122.485308	228.581137	207.884388	58.238502
ENSMUSG00000000355	63.31753	7.124401	65.776044	93.531591	34.261867	57.234932	67.249854	77.724636	38.36968
ENSMUSG00000000359	2.558463	0.998162	2.917954	0.418604	1.555104	0.590559	6.62147	7.56622	0.129827
ENSMUSG00000000365	0.030534	45.776439	0.046334	0.342617	0.060496	0	0.089817	0.310111	0.003824
ENSMUSG00000000374	17.94468	10.238708	9.839736	38.537531	16.870418	13.817157	18.719476	23.430941	5.64765
ENSMUSG00000000378	14.016607	10.924182	26.945084	45.669718	14.887763	14.191449	58.17425	156.033672	12.845568
ENSMUSG00000000381	0.029836	0.272125	0	0.047101	0	0	0	0	0
ENSMUSG00000000384	27.798264	48.375617	24.217898	34.816866	27.160196	39.522654	19.682798	69.403668	25.446762
ENSMUSG00000000385	46.274162	0.258274	0	0.066124	0.019732	49.967068	38.599395	0.009661	0.784147
ENSMUSG00000000386	0.329024	0.782936	1.4996	0.249702	0.107717	1.922885	2.724161	10.58896	0.642705
ENSMUSG00000000392	0.371811	0.071268	9.464601	2.886636	5.72613	0.567873	1.062597	0.580621	0.137779
ENSMUSG00000000394	0	0.016168	0	0.042977	0	11.945171	0.047954	0.132336	0
ENSMUSG00000000399	190.171982	96.506067	368.955023	140.266949	196.968592	133.430366	78.501877	55.586451	90.23245
ENSMUSG00000000402	5.649163	0.16633	0.12893	1.828494	0.542067	0.038386	27.733286	0.444095	0.016561
ENSMUSG00000000409	1.511753	3.112501	0.611606	3.249944	0.253074	23.828676	35.947066	216.242648	0.953958
ENSMUSG00000000411	0.047576	243.886347	0	0.200057	0.224728	0.011823	0.085394	0.161707	0.037103
ENSMUSG00000000416	3.109628	1.362996	0.714226	67.073953	0.304514	0.708025	3.330642	1.151054	0.225877
ENSMUSG00000000420	99.607378	14.737601	58.060123	33.35871	38.555984	41.217377	46.86335	63.390934	13.031245
ENSMUSG00000000435	0	0	0	0.033466	0.777987	0.00836	0.027413	0	0.004948
ENSMUSG00000000439	7.587976	50.109988	17.613291	19.430139	28.8197	3.478078	12.097506	11.205407	5.739085
ENSMUSG00000000440	4.340292	2.003022	17.085835	3.67016	2.379476	10.654445	9.083408	7.547655	4.649679
ENSMUSG00000000441	46.260798	31.670768	52.803665	79.691406	86.293474	27.088888	62.807091	78.593517	38.469736
ENSMUSG00000000486	8.000257	3.08581	5.378571	6.562904	3.320563	27.081397	48.37129	404.014685	1.775355
ENSMUSG00000000489	8.911896	1.143549	8.905754	14.287758	7.736435	2.160879	88.372367	9.934274	0.412877
ENSMUSG00000000530	10.304138	2.636346	26.099097	5.691322	6.487967	11.029388	378.137234	28.286998	1.692367
ENSMUSG00000000531	1.913325	1.67348	5.547149	31.182438	2.432088	1.499494	17.604389	4.010229	0.610121
ENSMUSG00000000532	11.641728	7.536477	3.525074	48.658686	16.981955	10.037745	19.626141	14.161978	4.488021
ENSMUSG00000000538	41.936822	15.907756	37.090779	123.380937	33.79334	31.600565	38.431758	26.451976	14.324785
ENSMUSG00000000544	0.021731	0.213066	0	0.05055	0	155.960499	0.214573	0	0
ENSMUSG00000000552	1.655857	66.251075	3.128457	29.873691	2.790028	2.605107	3.575341	22.673881	4.810855
ENSMUSG00000000555	3.355216	0.780315	12.094305	1.480944	2.694913	3.118217	15.992611	7.16042	5.614698
ENSMUSG00000000560	0.012881	0.054165	0.093797	88.796101	0.222193	0.04456	0.00935	0.119363	0
ENSMUSG00000000561	14.243678	34.810889	21.645204	42.266261	16.866627	7.928909	18.874285	49.449527	13.904469
ENSMUSG00000000562	0.079037	7.949896	0.423131	1.081053	0.035957	0.685511	0.764357	1.317879	0.045366
ENSMUSG00000000563	386.896316	85.351633	793.756591	268.970471	410.417257	267.004173	157.852955	137.362102	163.510262
ENSMUSG00000000567	0.129275	6.399362	1.043157	9.754969	0.763881	4.03997	0.220441	0.5769	1.003026
ENSMUSG00000000568	63.170836	76.193413	29.88904	153.553217	40.950078	86.134726	98.308811	204.58654	31.62324
ENSMUSG00000000579	5.446024	9.562853	16.812884	15.038665	4.708989	9.397834	23.728292	37.730122	1.96909
ENSMUSG00000000581	42.507206	14.905385	21.288372	44.313893	28.821369	20.196058	34.461466	26.384879	27.412888
ENSMUSG00000000594	98.420754	78.785609	22.242232	27.254292	6.983756	15.608728	35.288741	123.612945	25.795475
ENSMUSG00000000600	10.319756	13.318601	14.98301	29.620509	6.9563	4.145558	14.171227	24.217443	3.436687
ENSMUSG00000000605	31.679202	11.158327	24.573549	86.616906	18.754153	13.812749	33.16265	26.591678	12.472212
ENSMUSG00000000606	0	0.67542	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0.302938	0	0.09927	0.003823	0.077817	0.079834	1.812028	0.003067
ENSMUSG00000000627	0.114999	0.876713	0.139377	20.69197	0.091866	0.245992	8.509798	3.512976	0.108152
ENSMUSG00000000628	2.465538	12.558655	54.511204	1.446446	91.054156	6.195377	7.270259	6.833554	0.370471
ENSMUSG00000000631	72.856772	24.534989	15.576767	88.369967	107.312444	57.951269	53.01035	65.886267	32.497401
ENSMUSG00000000632	0.079935	7.683597	0.358512	94.243876	0.232122	0.157233	0.051955	0.054609	0.029371
ENSMUSG00000000673	161.722768	0.317343	0.132459	0.254341	0.074598	2.25471	12.074336	94.469836	457.22915
ENSMUSG00000000682	15.985856	1.678588	11.87289	3.197003	3.177572	143.314551	216.035897	1250.488532	9.281536
ENSMUSG00000000686	0.86081	0.873589	0.39478	0.825678	0.30228	0.579365	2.412018	2.446207	13.626387
ENSMUSG00000000690	12.122486	0.376481	0	0.02655	0.338926	0.370727	3.30309	0.74877	0.056999
ENSMUSG00000000693	1.866254	0.82254	5.648803	3.864505	2.449905	1.920463	8.38445	6.68171	0.730093
ENSMUSG00000000701	0	0.000345	0	0	0	0	0	0.099924	0
ENSMUSG00000000706	0	0.201888	0	0.102157	0	0.0133	0	0.364314	0.008063
ENSMUSG00000000708	23.086088	23.680288	18.230946	10.936387	27.639293	5.9757	29.946974	19.930316	19.123294
ENSMUSG00000000711	48.7291	19.919976	33.702289	81.626512	50.073624	16.669563	56.692049	46.975311	30.765048
ENSMUSG00000000724	0.14725	0	0	0.152616	0.065884	0.132858	0.124191	0.078236	0.113348
ENSMUSG00000000730	0.142161	14.702772	1.872802	0.288893	0.079087	0.351153	1.756393	0.324535	0
ENSMUSG00000000731	0.095245	0.819432	0	0.359504	0	0.144864	0.041057	2.646121	0
ENSMUSG00000000732	4.651849	1.755122	15.46242	3.335633	1.004704	6.279653	15.252291	101.887631	0.313019
ENSMUSG00000000738	57.085684	73.291333	21.249928	51.691589	39.600034	39.324995	33.84432	47.588138	23.711125
ENSMUSG00000000739	1.881525	2.624107	2.384717	0.625405	3.96093	0.244251	15.071209	0.424862	41.789794
ENSMUSG00000000740	196.443587	243.927721	413.75407	363.211404	213.505212	684.118664	472.39093	818.565763	217.576065
ENSMUSG00000000743	52.391822	60.799624	43.600488	76.687503	29.177552	69.365796	76.432027	76.613203	36.76966
ENSMUSG00000000751	21.41501	110.7277	17.937751	33.411014	25.552116	11.647171	31.482559	68.835921	13.701774
ENSMUSG00000000753	4.438521	8.63353	80.823295	12.257471	95.110222	3.262739	31.265834	15.118161	690.970349
ENSMUSG00000000759	14.420748	8.107099	17.911978	35.646092	6.224293	7.785785	31.116731	38.978097	6.378262
ENSMUSG00000000766	0.107044	0.08509	0	1.74536	0.011393	0.010177	0.681675	0.350317	0.004829
ENSMUSG00000000776	7.854368	8.524698	5.311554	14.640527	9.883812	3.516066	10.921218	13.35991	3.289797
ENSMUSG00000000782	0.906875	7.403831	0.404236	1.639182	0.224073	4.594767	19.549379	130.324215	1.442569
ENSMUSG00000000787	67.288029	9.894441	57.036849	134.704394	66.1051	26.628462	85.577415	111.019917	32.652459
ENSMUSG00000000791	0.115713	0.14449	0.078628	0.425753	0.019668	1.415378	0.785832	4.465674	0.665191
ENSMUSG00000000792	0.056627	1.01488	0	9.042509	0.034408	0.08464	0.288025	0.38408	0.002776
ENSMUSG00000000794	0.261216	1.78353	1.991905	12.607487	0.269455	0.412564	1.709613	0.227319	0.006309
ENSMUSG00000000804	13.923445	84.374647	5.768118	61.450219	5.31755	5.954475	17.222886	25.179909	7.492654
ENSMUSG00000000805	177.855439	4.856886	62.529659	97.841843	3.906055	158.565538	213.216976	0	0.140765
ENSMUSG00000000811	10.981156	245.764176	6.053267	2.70361	3.287709	1.841435	12.550958	3.814838	3.612145
ENSMUSG00000000817	0.093607	0.680095	0	0.200501	0	1.031119	1.405679	2.260087	0.046862
ENSMUSG00000000823	18.720881	98.867704	4.610224	75.892214	13.93925	4.852669	23.723092	47.237711	16.608515
ENSMUSG00000000826	24.689534	20.438749	13.369092	144.622781	15.555806	14.456399	33.768081	62.416398	15.399801
ENSMUSG00000000827	31.312567	26.390202	87.6856	82.067139	49.805943	20.48371	76.872925	58.348842	20.201985
ENSMUSG00000000838	13.264715	8.925287	12.394294	46.385089	4.469903	3.602624	16.785626	29.256293	4.504114
ENSMUSG00000000861	0.107699	7.131371	0.764491	44.095713	0.046466	2.590479	3.429757	51.533231	0.02382
ENSMUSG00000000869	2.968982	3.345433	0	38.059879	0.658635	0.689996	5.244844	2.069814	0.373258
ENSMUSG00000000876	66.786537	1.361456	10.213204	11.901597	9.355196	12.860617	18.413543	12.599576	37.873907
ENSMUSG00000000881	8.817221	6.680951	3.804806	86.286373	1.581069	22.827248	14.73606	7.803892	6.145726
ENSMUSG00000000884	1.578927	34.514239	1.871833	3.639994	1.587656	1.776375	3.615103	5.050047	1.518652
ENSMUSG00000000889	0.004284	0.152477	4.125789	0.270396	0	0.234248	0.040149	0.034587	0
ENSMUSG00000000901	5.301298	2.437399	4.687872	1.200982	1.243355	2.155247	28.524312	4.918132	0.196912
ENSMUSG00000000902	21.106765	57.071486	13.6984	49.571568	8.743976	29.201979	38.174123	65.267183	10.261357
ENSMUSG00000000903	0.4927	4.831015	0	0.249939	0.27205	7.512923	37.053653	56.351824	0.193846
ENSMUSG00000000915	11.485264	23.926887	4.986949	52.381832	2.11371	24.278282	27.475329	101.495441	12.454672
ENSMUSG00000000916	6.208394	7.524809	8.984014	18.523908	6.464632	7.636273	15.611394	23.659483	7.592704
ENSMUSG00000000934	16.162631	10.177414	3.065162	16.737527	10.230219	3.95057	3.92485	6.652136	11.342016
