Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUG00000008278	1.32947	1.92231	1.18608	1.23572	3.00086	0.928646	3.06738	0.451848	0.427792	6.60256	6.09873
ENSELUG00000008279	38.4196	86.0563	121.4436	68.2729	37.42825	63.1819	123.4389	15.662	5.15939	87.6362	47.56685
ENSELUG00000008280	7.16216	3.38102	46.2241	3.81674	4.64778	2.39036	6.11494	4.01807	0	0	10.592
ENSELUG00000008281	0	0	0	0	0	0	0	0	0	0	0.886114
ENSELUG00000008282	0	0	0.385179	0	1.33347	2.21015	0	1.25109	0.222695	0	7523.82
ENSELUG00000008283	6.11135	23.406818	24.529663	10.578244	35.350061	6.17994	7.17821	8.3088511	6.9333	51.1444	6.80209
ENSELUG00000008284	2.72706	10.6806	11.5209	2.34281	5.81009	2.03963	1.89043	0.337228	0.0251755	0.267628	2.52088
ENSELUG00000008285	6.18724	15.70298	6.556022	9.997802	5.03081	10.71955	47.5812	3.304027	0.587322	55.828793	5.212647
ENSELUG00000008286	1.00028	2.04877	0.525515	0.0738956	1.37819	0.233175	0.71091	0.0147169	0.693381	0.934717	1.92424
ENSELUG00000008287	73.8212	2.09293	1.02678	0.366386	0.561569	11.8366	1.19167	0.0689083	95.7402	17.6421	18.2425
ENSELUG00000008288	1.85519	0	1.15367	114.911	0.115856	0	0.237191	0.108897	0.386683	0.355817	0.108564
ENSELUG00000008289	2.93863215856	23.32035178	5.700093	0.5367508678708	0.33035548181	1.072513	0.3949175	0.067148510168	0.047621	0.0361503	1.4721065173
ENSELUG00000008290	1.21467	31.5314	2.62978	0	0	0	0	0	0	0	3.02599
ENSELUG00000008291	36.2332	22.1958	70.9744	30.2457	35.138118	30.16424	50.0741	27.132887	32.2472	92.35391	66.7933
ENSELUG00000008292	4.9449	22.40595	13.11491	5.188542	7.1544	4.78092	8.44948000021791	3.269226	0.56686252	13.250100092717	27.459500168442
ENSELUG00000008293	75.4726	173.289	186.597	129.289	305.767	72.7197	62.3112	74.2084	55.532	169.837	86.4329
ENSELUG00000008294	36.931	170.376	254.979	120.913	52.0883	16.1713	62.5472	167.144	3.71105	30.9509	43.9675
ENSELUG00000008295	0	0	0.0591517	0	0	0	0	0	0	0	0
ENSELUG00000008296	0.145366	0.359974	0.942206	6.16804	0	0	0.0591665	0.0637647	0	0	1.83883
