Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSCAFG00000000087	33.34	16.1	19.12	9.58	37.88	21.19	27.43
ENSCAFG00000000088	42	15.82	135.5	51.79	31.48	18.35	18.97
ENSCAFG00000000089	0	0	0	0	0	0	2.87
ENSCAFG00000000090	1.96	0	0.43	0	0	0	0
ENSCAFG00000000093	5.43	9.22	1.52	1.51	21.32	0.41	3.82
ENSCAFG00000000094	20.42	16.04	35.66	66.57	59.41	7.62	288.53
ENSCAFG00000000096	0	0	0.25	0	0	0	0
ENSCAFG00000000097	3.18	1.47	108.9	60.12	101	0.47	0.66
ENSCAFG00000000098	0	0	0	0	0	0	0
ENSCAFG00000000099	2.26	0	0	0	0	0	0.18
ENSCAFG00000000100	87.28	19.89	48.61	38.75	56.8	26.83	27.97
ENSCAFG00000000101	0.37	0.03	0	0	0	0.04	0.1
ENSCAFG00000000102	44.06	21.16	27.19	18.19	46.77	20.33	131.19
ENSCAFG00000000103	44.93	23.17	11.94	1.62	90.43	21.32	41.78
ENSCAFG00000000104	3.75	2.45	3.12	1.54	9.29	2.29	50.79
ENSCAFG00000000105	11.34	5.38	3.38	1.03	20.1	3.49	47.76
ENSCAFG00000000106	0	0	0	0	0	0	0
ENSCAFG00000000107	0.18	36.53	0.03	0.02	0.41	21.62	0.2
ENSCAFG00000000108	17.86	25.24	49.51	28.89	135.4	22	309.75
ENSCAFG00000000109	84.24	25.93	31.56	16.37	91.54	21.19	74.91
ENSCAFG00000000110	114.81	14.27	3.19	1.08	15.27	127.03	79.2
ENSCAFG00000000111	46.94	15.76	13.37	4.3	37.54	11.15	55.83
ENSCAFG00000000112	7.57	3.21	89.24	20.32	8.07	3.46	10.36
ENSCAFG00000000113	27.92	16.18	9.47	2.31	17.58	11.54	68.13
ENSCAFG00000000115	164.29	502.57	182.18	21.71	118.45	342.83	40.57
ENSCAFG00000000116	83.34	12.44	71.17	17.8	78.26	9.07	27.45
ENSCAFG00000000118	42.11	14.41	39.03	23.66	52	13.75	14.22
ENSCAFG00000000119	8.93	4.67	5.89	4.23	19.24	5.79	21.57
ENSCAFG00000000120	0.67	0.71	0.38	1.7	2.11	0	1.33
ENSCAFG00000000121	23.44	5.49	18.78	80.7	86.31	3.97	34.19
ENSCAFG00000000122	0	0	0	55.21	0.19	0	0.15
ENSCAFG00000000123	0.84	1.89	6.13	18.24	21.5	1.07	0.56
ENSCAFG00000000124	2.29	1.14	2.68	3.65	8.72	0.65	13.31
ENSCAFG00000000125	91.29	10.86	28.51	17.55	36.07	9.39	13.8
ENSCAFG00000000126	33.18	68.71	26.43	11.69	33.31	39.65	40.06
ENSCAFG00000000127	0.31	0	0	15.33	0	0	0.25
ENSCAFG00000000128	0.14	0.07	0.16	0	0	0	1.8
ENSCAFG00000000129	44.34	0	0	0.27	0	0	0.54
ENSCAFG00000000130	6.25	8.36	10.27	10.11	12.7	7.67	5.82
ENSCAFG00000000131	21.32	0.4	0.79	302.21	1.16	0.18	124.37
ENSCAFG00000000132	21.34	0.92	4.5	3.03	9.98	1.45	6.44
ENSCAFG00000000133	117.17	8.6	8.26	3.93	17.42	3.54	39.44
ENSCAFG00000000134	3.61	5.37	7.83	10.47	58.27	4.15	89.5
ENSCAFG00000000135	14.49	9.4	22.43	9.8	51.01	7.25	55.24
ENSCAFG00000000136	985.07	3141.44	2021.09	709.59	518.59	2030.76	475.08
ENSCAFG00000000137	102.65	63.65	98.49	79.16	91.48	115.08	102.82
ENSCAFG00000000140	66.59	10.06	2.75	3.06	49.78	5.41	15.76
ENSCAFG00000000141	315.42	241.64	454.66	297.92	767.35	281.78	434.56
ENSCAFG00000000142	8.15	3.02	7.27	5.02	13.82	1.34	9.4
ENSCAFG00000000143	10.46	2.56	13.82	10.51	6.21	1.22	8.9
ENSCAFG00000000144	2.73	2.76	1.45	1.4	8.98	3.34	0.56
ENSCAFG00000000145	15.44	0	0.23	1.01	5.3	0.12	0
ENSCAFG00000000147	2.01	0.59	1.27	2.41	3.49	0.4	48.56
ENSCAFG00000000148	0.24	0.06	0.81	97.28	12.71	0.1	0.59
ENSCAFG00000000149	32.53	1.9	9.55	5.75	6.48	1.61	240.35
ENSCAFG00000000150	8.9	2.11	7.92	4.33	10.17	2.29	30.67
ENSCAFG00000000153	5.2	2.21	2.11	1.29	9.64	0.44	4.49
ENSCAFG00000000155	6.43	0	0	0	0.86	0.07	1.44
ENSCAFG00000000156	1.29	0.02	0.07	0.03	0.17	0.1	1.27
ENSCAFG00000000157	7.26	0	0.03	0	0.15	0.05	5.68
ENSCAFG00000000158	38.41	20.62	76.45	234.93	51	14.55	71
ENSCAFG00000000159	3.48	1.09	3.51	2.76	11.79	0.77	6.51
ENSCAFG00000000160	27.35	6.02	8.31	4.05	15.42	5.17	9.91
ENSCAFG00000000162	28.09	7.95	14.97	4.41	49.4	3.95	290.16
ENSCAFG00000000163	28.23	9.5	35.85	28.26	123.1	6.05	3.5
ENSCAFG00000000164	21.13	13.76	20.49	8.23	47.72	10.94	12.12
ENSCAFG00000000165	3.51	7.4	22.2	6.1	110.03	0.56	0.48
ENSCAFG00000000166	17.05	5.2	7.07	5.83	20.12	4.54	20.37
ENSCAFG00000000167	20.98	9.05	16.41	3.86	22.38	3.7	8.4
ENSCAFG00000000168	35.67	28.24	14.13	1.94	25.08	11.79	82.59
ENSCAFG00000000169	0.03	0.05	0.05	0.04	0.15	0	56.24
ENSCAFG00000000170	0.18	0	0.1	0	0.19	0	0
ENSCAFG00000000171	0.47	0	0	0	0	0	0.13
ENSCAFG00000000172	25.32	5.83	9.39	4.31	15.37	2.86	99.42
ENSCAFG00000000173	16.82	12.24	9.08	4.52	8.89	9.75	115.36
ENSCAFG00000000175	1.13	1.15	1.41	0.41	1.81	0.44	8.3
ENSCAFG00000000176	0	0	0	0	0	0	0
ENSCAFG00000000177	1.34	0	1.18	1.58	1.7	1.15	6.57
ENSCAFG00000000178	79.82	10.29	6.52	101	124.54	12.76	28.72
ENSCAFG00000000183	0	0	0.52	0	0	0	0
ENSCAFG00000000184	19.74	0.12	18.21	55.62	1.09	0.34	1.51
ENSCAFG00000000185	37.3	6.98	29.77	9.38	31.67	6.14	4.65
ENSCAFG00000000187	0	0	0	0	0	0	0
ENSCAFG00000000188	0	0	0	0.92	0	0	0
ENSCAFG00000000189	12.24	3.29	7.62	4.67	15.95	2.83	14.79
ENSCAFG00000000190	308.3	282.45	594.79	498.44	1163.17	646.11	607.94
ENSCAFG00000000191	0.52	0	0	0.37	0.82	0	0
ENSCAFG00000000192	16.05	3.44	4	1.23	33.23	3.32	11.27
ENSCAFG00000000193	0	0.2	9.2	0.29	0	0.08	0
ENSCAFG00000000194	0.08	0.04	0.09	39.77	0	0.05	0
ENSCAFG00000000195	23.13	8.22	233.13	182.72	23.64	4.99	23.1
ENSCAFG00000000196	0.53	4.59	6.68	10.22	1.22	10.07	0.24
ENSCAFG00000000197	16.74	7.78	12.2	2.48	19.39	5.84	18.65
ENSCAFG00000000198	0	0	0	0	0	0	0
ENSCAFG00000000199	0.14	0.64	0.12	0.76	0.84	1.58	0.55
ENSCAFG00000000200	3.47	2.63	0.99	1.37	64.7	3.97	5.1
ENSCAFG00000000201	0.67	0.44	1.31	1.36	2.14	298.38	10.81
ENSCAFG00000000202	0	0.42	0.27	0.22	0	0.57	0
ENSCAFG00000000203	54.44	3.35	7.78	11.7	23.65	3.91	199.83
ENSCAFG00000000204	111.5	23.15	70.39	27.64	93.75	9.78	78.79
ENSCAFG00000000205	0.42	3.62	27.82	2.09	461.69	0.25	57.07
ENSCAFG00000000206	37.95	0.89	3.34	967.99	332.2	5.25	63.35
ENSCAFG00000000207	19.6	2.91	2.7	2.49	9.51	1.44	101.68
ENSCAFG00000000209	20.42	11.04	18.77	24.26	42.63	5.34	36.62
ENSCAFG00000000210	6.22	4.52	3.51	2.61	11.37	2.43	40.55
ENSCAFG00000000211	0	0	0.29	0.19	0.82	0.15	153.84
ENSCAFG00000000212	14.38	19.67	4.68	3.5	6.68	6.01	1.54
ENSCAFG00000000213	6.94	3.49	8.76	4.25	7.14	3.44	7.67
ENSCAFG00000000214	10.99	2.67	4.48	2.18	9.66	4.12	9.21
ENSCAFG00000000215	86.64	72.28	38.78	45.53	70.93	103.1	54.05
ENSCAFG00000000216	5.36	5.21	3.18	2.14	11.54	3.14	5.16
ENSCAFG00000000217	55.43	5.92	103.3	4.69	156.98	21.27	63.1
ENSCAFG00000000219	23.95	1.11	1.16	0.9	4.96	0.26	309.55
ENSCAFG00000000220	14.63	0	0.89	21.81	1.99	0.14	2
ENSCAFG00000000221	1	0.26	193.03	169.91	0.9	0.31	0.31
ENSCAFG00000000223	1.64	0.2	0.38	3.16	2.8	0.37	1.73
ENSCAFG00000000224	19.27	5.67	6.35	3.85	16.12	3.26	19.05
ENSCAFG00000000225	4.99	0.7	0.22	1.16	16.06	0.68	190.6
ENSCAFG00000000226	33.09	18.38	14.1	10.62	21.03	25.59	14.26
ENSCAFG00000000228	42.7	24.9	57.09	57.27	108.22	24.28	41.99
ENSCAFG00000000229	28.26	17.26	15.19	13.98	28.76	18.82	211.44
ENSCAFG00000000230	0.65	0.04	0	0.06	9.29	0	1.48
ENSCAFG00000000231	30.92	15.35	35.74	49.28	35.77	19.07	26.46
ENSCAFG00000000233	180.34	51.39	69.71	44.62	161.13	56.14	104.59
ENSCAFG00000000234	68.46	1.4	3.97	0.88	9	2.16	59.37
ENSCAFG00000000235	3.67	4.85	1.75	0.38	20.79	5.15	1.19
ENSCAFG00000000236	56.3	33.99	32.83	21.71	95.97	66.41	349.36
ENSCAFG00000000237	0.46	0.25	0.09	0	0.32	0	1.7
ENSCAFG00000000238	545.31	6.95	1.41	0.91	6.32	1.22	5.74
ENSCAFG00000000239	12.63	1.92	5.72	0.11	6.55	5.35	0.92
ENSCAFG00000000240	56.07	14.16	19.87	18.04	44.17	18.69	87.24
ENSCAFG00000000241	23.58	12.95	19.77	10.9	52.79	10.96	34.74
ENSCAFG00000000242	6.14	7.08	101.31	10.36	10.18	5.3	7.61
ENSCAFG00000000244	1	0.41	0.29	0.27	5.57	0.61	83.27
ENSCAFG00000000245	59.74	17.39	23.55	13.12	60.47	12.99	36.28
ENSCAFG00000000246	9.85	0	2	3.34	6.95	0.21	0.12
ENSCAFG00000000247	12.98	0.1	22.36	4.2	6.8	0.08	74.49
ENSCAFG00000000248	6.14	3.01	4.26	4.5	12.42	2.28	19.54
ENSCAFG00000000249	57.22	4.48	46.36	16.23	48.36	2.16	33.36
ENSCAFG00000000250	34.92	4.07	1.84	2	14.75	1.38	1.05
ENSCAFG00000000251	6.8	12.43	9.06	4.4	11.75	0.81	2.54
ENSCAFG00000000252	2.29	15.29	0.39	0.43	6.28	5.36	0.77
ENSCAFG00000000253	8.12	12.48	19.07	12.35	13.02	6.21	5.92
ENSCAFG00000000255	50.13	0.03	0.03	0.41	0.91	0	5.24
ENSCAFG00000000256	2.33	0	2.85	0	0.59	0	0
ENSCAFG00000000257	0.9	4.18	0.22	0.05	31.42	0.31	0.21
ENSCAFG00000000258	0	0	0	0	2.39	0	0.2
ENSCAFG00000000259	62.63	25.46	118.59	86.2	138.56	13.86	99.96
