Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSMMUG00000015658	19.842536	28.903681	7.364611	12.545227	15.963783	30.216115	69.500673	58.602048	28.965566
ENSMMUG00000015659	11.638818	11.31551	7.892533	8.702428	12.214183	5.972006	5.557124	4.931565	8.210747
ENSMMUG00000015660	1.756819	680.756869	0	0.618641	0.085493	0.901937	0.824072	1.028822	0.956313
ENSMMUG00000015661	6.461118	8.09817	0.729929	8.237056	3.207095	0.252243	28.056509	2.347153	7.917223
ENSMMUG00000015662	0.247981	0	0	0.66659	0	0	0	0	478.034336
ENSMMUG00000015663	27.089098	46.944929	10.377152	32.743902	19.185497	25.100889	26.610347	29.191378	19.328814
ENSMMUG00000015664	2.299509	40.234212	4.282202	66.233353	8.413557	10.99581	14.003968	27.352369	2.617147
ENSMMUG00000015665	2.387954	9.852005	0.597973	5.325173	0.421246	4.012212	5.172991	5.748481	1.740512
ENSMMUG00000015666	0	0	0	0	0	0.14091	0	0	0
ENSMMUG00000015667	16.168805	5.253183	37.487412	13.936203	5.201645	14.301941	59.579819	30.11531	49.632006
ENSMMUG00000015668	50.72625	193.993176	20.912727	91.807605	3.474908	488.528126	368.208069	577.615184	123.478952
ENSMMUG00000015669	0	0	0.184326	0	0	0	0	0	0
ENSMMUG00000015670	12.364883	49.756978	1.545114	1.929908	1.288533	17.472674	23.624055	29.341013	18.579869
ENSMMUG00000015671	52.489958	39.508756	7.395738	3.20217	10.034643	57.039026	20.970422	19.510115	18.554109
ENSMMUG00000015672	78.172431	138.127179	94.231886	100.975321	29.086484	115.950366	143.479777	90.395716	94.902202
ENSMMUG00000015673	0	0.563219	0	0	0	0	0	0	0
ENSMMUG00000015674	0	0	0	0	0	0	0.357046	0	0
ENSMMUG00000015675	0	0	0	0	0	0	0	0	0
ENSMMUG00000015676	0.057348	0.162276	0	0	0	0	0.498376	0	0
ENSMMUG00000015677	0	0.109339	0	0.401942	0	0	0.296398	0	0.073963
ENSMMUG00000015679	3.181318	191.099927	1.291529	3.034106	1.415133	4.44868	6.646009	7.909955	1.487846
ENSMMUG00000015680	0	3.911827	1.00609	0	0.588009	0	0.477721	0	3.370505
ENSMMUG00000015681	0	0	0	0	0	0	0	0	0.440399
ENSMMUG00000015682	1.383992	2.695138	0.293792	1.938536	0.203968	10.46243	5.955668	11.640731	1.791791
ENSMMUG00000015683	0	10.122896	0.118523	10.397232	0	0.268813	0.645335	0.530819	0
ENSMMUG00000015684	0	54.817644	0	0.685325	0	0	0	0	0
ENSMMUG00000015685	0.193446	0.24312	0	1.25059	0	0	0	0	0.77533
ENSMMUG00000015686	33.78055	270.64709	10.680913	38.680297	20.844511	31.584989	50.556736	58.049691	24.561781
ENSMMUG00000015687	0	6.348031	0	0.300781	0	0.513952	0.294739	0.430659	0
ENSMMUG00000015688	0.116303	0.357194	0.049555	0.083353	0	0.320361	0.166032	0.279313	0
ENSMMUG00000015689	68.063305	97.08785	6.828325	28.328352	5.169092	14.055644	16.243836	9.253522	0.517712
ENSMMUG00000015690	0.448225	1.050554	0.13972	0.056443	0.400919	1.423982	4.402931	3.700993	0.416466
ENSMMUG00000015691	0	0.264667	0	0	0	0.323532	0	0.218567	0
ENSMMUG00000015692	0.028919	191.956023	0	0.045563	0	0	1.53369	0	0
ENSMMUG00000015693	0	13.822238	0	0	0.115169	0	2.313716	0.475602	0.280913
ENSMMUG00000015694	0.082179	0.230825	0	0.107694	0	0	1.02956	0.898773	0
ENSMMUG00000015695	4.786855	105.369409	1.061545	14.958967	3.787473	3.916473	5.293266	4.546514	1.372999
ENSMMUG00000015696	9.42913	49.401772	3.854842	6.868268	0.323328	1.187985	16.422198	2.082325	2.768144
