transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000009689.1	1.36557	3.36332	1.88577	2.1497	2.00983	2.32915	3.01431	0.0145586	0.356438	0	2.87691
ENSELUT00000009690.1	0.437253	3.70527	2.04979	0	0.096378	0	0	0	0	0	0
ENSELUT00000009691.1	3.80049	8.10458	2.37294	1.59128	0.407046	0.128774	5.42038	0.0459561	0.11137	0.427417	3.27681
ENSELUT00000009692.1	3.02316	0	0.000201714	8.61545	3.12671	6.61551	2.48837	1.74953	0	0	0.676283
ENSELUT00000009693.1	4.89956	13.3925	10.9692	7.00788	6.53617	5.80489	22.6592	5.57861	0.767458	1.87905	18.2542
ENSELUT00000009694.1	0	0	0	0	0	0	0	0	0	0.146147	1.21943
ENSELUT00000009695.1	1.23438	10.2079	3.16354	0	2.11152	0.108971	0	0	0	5.92909	4.98908
ENSELUT00000009696.1	0.304746	1.03109	0.0997579	1.52372	1.91363	1.23499	4.90259	0.564744	0.26624	0.46965	0.639472
ENSELUT00000009697.1	0.340824	0.929931	0.593534	0.484385	0.653076	0.40342	0.814299	0	0.060683	0.763295	0.359913
ENSELUT00000009698.1	6.80484	10.8057	12.4681	18.4405	9.58106	21.7886	7.92096	8.79627	1.69345	36.7212	24.949
ENSELUT00000009699.1	6.91699	16.7555	20.3795	8.469	10.1512	8.92928	14.5874	1.92201	2.78266	42.6662	20.101
ENSELUT00000009700.1	0	0	0	0	0	0	0.400468	0.0335817	0	0	0
ENSELUT00000009701.1	8.75711	16.4125	2.10727	7.28598	0.159733	0.782002	0.287952	1.01217	0.213161	0.236904	3.39264
ENSELUT00000009702.1	2.81934	19.9044	1.76942	0.100914	0.444291	0.0802777	0.301931	0	0	0	0
ENSELUT00000009703.1	2.01828	0	0.00552628	3.46547	1.44155	0	1.88198	1.16769	0	12.5168	0
ENSELUT00000009704.1	9.22528	25.9368	14.2433	3.61963	2.73092	2.67691	3.98292	0.387778	0.137542	0.104619	1.14959
ENSELUT00000009705.1	1.85211	9.8521	0.630461	0.389114	1.94545	0.423746	0.607546	1.04163	0.0262198	0	0.544524
ENSELUT00000009706.1	0	0.827675	0.237604	0	0.106426	0	0	0	0	1.6265	1.44596
ENSELUT00000009707.1	24.9519	20.7239	46.5514	39.8726	21.5593	36.5895	46.48	12.2886	11.0544	88.9648	41.9485
ENSELUT00000009708.1	0	3.21151e-06	0	0	0	0	0	0	1.40944e-07	0	0
ENSELUT00000009709.1	0.781597	1.82497	2.59121	7.0758	4.70025	11.8701	9.07775	7.64112	0.808955	5.41785	5.05717
ENSELUT00000009710.1	0	1.06389e-09	0.477084	0	1.50573e-10	1.18495e-09	0.272887	0	0	0	0
