Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSBTAG00000007638	0.805517	0.548238	0.045858	0.138297	0	1.869116	0.599176	0.879163	0.521626
ENSBTAG00000007639	4.175738	47.433361	0.404746	4.882149	3.065455	7.963796	10.568851	21.489551	2.828382
ENSBTAG00000007642	0.546521	1.079989	0.260579	5.354138	0.125854	2.888718	10.774135	47.139489	3.357538
ENSBTAG00000007643	15.742867	157.904466	8.126372	14.802226	14.787018	16.95766	16.8321	13.865716	18.938877
ENSBTAG00000007644	5.325161	28.12994	41.802959	95.063484	22.202365	4.744536	19.27181	14.882003	5.888871
ENSBTAG00000007646	5.394173	2.041821	0.231088	1.960365	0.839064	2.137775	4.335349	4.55251	8.200059
ENSBTAG00000007647	0.015455	0	0	0	0	0	0	0	0
ENSBTAG00000007648	44.461563	55.514259	3.548962	33.68826	14.129307	86.55489	54.424139	120.82636	28.587296
ENSBTAG00000007649	14.810094	21.59465	6.765474	42.837909	4.73919	21.160783	26.782301	18.510486	12.538274
ENSBTAG00000007650	0.386267	0.319474	0.013012	0.012186	0.10775	1.719676	0.602046	1.714947	0.084417
ENSBTAG00000007651	1.567816	26.802737	0.054828	35.959621	0.199927	1.35717	3.638654	2.604481	0.103885
ENSBTAG00000007652	8.620154	46.907614	0.76374	14.112883	1.584305	7.79487	20.474144	10.73183	0.630434
ENSBTAG00000007654	0.993095	1.006282	5.736183	1.119201	3.269374	2.573916	3.140347	2.052195	0.748583
ENSBTAG00000007657	11.464858	12.602248	0.906896	15.494888	4.015656	9.998256	7.656846	2.942652	0.355195
ENSBTAG00000007658	23.684435	54.209935	15.412739	33.734286	9.246148	31.619748	40.880058	33.81716	25.884198
ENSBTAG00000007659	5.372781	43.563664	0.126704	12.040436	0.123471	38.221669	10.654933	11.09697	1.150354
ENSBTAG00000007660	18.593878	22.10664	23.370231	49.030802	5.415194	19.868781	17.965365	9.773234	12.718271
ENSBTAG00000007661	2.231036	2.062698	1.107043	3.304333	6.791823	16.103289	33.401351	29.446829	6.293739
ENSBTAG00000007662	138.752136	711.014313	28.567923	122.222039	30.029527	343.936937	189.864186	275.83277	225.753221
ENSBTAG00000007665	1.597426	3.047482	7.256849	0.772563	1.912305	1.099728	10.695555	4.954677	17.107858
ENSBTAG00000007666	3.067722	5.12991	0.434539	0.313886	1.096852	22.853239	8.874475	0.533094	0.072376
ENSBTAG00000007668	0.270875	3.937461	0.040545	39.604145	0.310918	2.201898	1.558561	2.655087	0.10882
ENSBTAG00000007674	0	0.04847	0	0	0	0.500767	0	0	0
ENSBTAG00000007675	4.658564	34.599064	1.006196	5.890614	0.721122	4.320039	8.113231	6.0846	1.86375
ENSBTAG00000007678	1.837383	6.763273	0.005594	2.325914	0.127407	0.427905	0.302384	2.229031	0.148764
ENSBTAG00000007680	2.1959	0.745028	0.032739	24.929156	0.078227	1.176166	0.296047	0.517794	0.087937
ENSBTAG00000007681	40.662357	9.75614	1.257567	13.832708	1.332363	13.275869	14.278099	22.615387	26.691255
ENSBTAG00000007683	2.671409	17.068876	0.580619	4.277871	2.427186	2.828759	3.881067	16.984986	1.72659
ENSBTAG00000007684	8.803944	4.895092	1.05626	8.561055	3.280687	6.867436	9.428743	19.865702	5.242664
ENSBTAG00000007685	159.849245	199.66166	84.329764	138.206679	79.304619	168.458103	210.72042	212.567867	192.456579
ENSBTAG00000007686	4.609844	15.326741	2.757566	5.210048	2.220783	5.398274	6.609456	5.801133	2.851046
ENSBTAG00000007687	0	0.059707	0.005469	0.017503	0	0.375636	0	0	0
ENSBTAG00000007689	3.674856	333.612559	9.521999	11.551248	56.075349	3.603828	4.322978	5.028911	35.218479
ENSBTAG00000007690	35.039888	0.182447	0	0	0	0	0	0	83.869897
ENSBTAG00000007692	0.350347	0.759133	0.314943	0.340467	0.180136	0.223045	0.494337	1.052272	0.305505
ENSBTAG00000007693	31.726053	3.820016	0.072647	4.867722	0.345441	6.101524	3.24739	1.67234	1.353905
ENSBTAG00000007694	0.890366	43.904384	0.354628	0.186935	0.753098	0.100275	0.691492	0.140086	0.074634
ENSBTAG00000007695	0.260764	0.085197	0	0.094372	0	0	0.096907	0	0
ENSBTAG00000007696	16.397004	47.192352	2.118153	14.550976	10.356561	16.987821	29.625999	37.01193	11.271054
ENSBTAG00000007698	7.068394	7.593469	0.135327	927.792106	0.201533	7.130199	1.006142	0.070218	0.056222
ENSBTAG00000007700	234.706386	17.33001	230.399031	68.241973	235.861301	92.672346	53.314927	54.484534	318.16601
ENSBTAG00000007702	6.244022	41.852207	2.28299	7.032875	3.843379	6.64624	6.377623	3.673115	3.274461
