Ens.ID	TPM.brain	TPM.embryo	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSONIG00000002850	4.37607333333333	3.13557	2.11241	4.04533333333333	0.791160333333333	1.60769	17.5856	28.4840333333333
ENSONIG00000002851	416.890666666667	162.759666666667	116.605033333333	120.351	28.8296666666667	22.8484333333333	194.335	146.474666666667
ENSONIG00000002852	28.6677333333333	17.6524333333333	21.6219666666667	19.6680666666667	7.93057666666667	29.3782	462.361333333333	204.15
ENSONIG00000002853	85.4694666666667	25.7141333333333	26.5534	33.9274666666667	5.30532	12.6933566666667	11.3668133333333	54.6984666666667
ENSONIG00000002854	14.3599333333333	5.07906666666667	2.38452	7.65997333333333	0.392577333333333	0.996959	14.2669	12.2194333333333
ENSONIG00000002855	21.6460333333333	9.45499	5.98645333333333	9.71671	1.25499333333333	2.23054666666667	4.11891666666667	16.1463333333333
ENSONIG00000002856	21.3270666666667	16.7070333333333	9.04206666666667	17.2109333333333	16.5736	8.67338	22.7326	24.8199333333333
ENSONIG00000002857	4.75318	2.97525	1.12086	3.28415666666667	1.14452333333333	3.15962333333333	11.2647	5.56700333333333
ENSONIG00000002858	21.1252333333333	22.4698	2.27610666666667	30.4596333333333	5.10223333333333	1.95491	0.409691	23.3960333333333
ENSONIG00000002859	1.08606	9.56846666666667	0.824375	1.29750333333333	0.2204859	0.183014566666667	0.145914	1.19784633333333
ENSONIG00000002860	10.41382	6.12734	4.19861666666667	9.783	2.04691666666667	2.98891	18.9367333333333	44.1725333333333
ENSONIG00000002861	7.56022266666667	3.70785666666667	4.24264333333333	14.584698	4.98147333333333	2.30538	1.78029833333333	9.19343316666667
ENSONIG00000002862	10.1620333333333	7.32488666666667	3.8348211845	5.58491	2.67666	7.17409	6.03082631966667	19.88213404779
ENSONIG00000002863	0.4861792	1.08052133333333	1.10619446666667	6.54965823333333	148.966663333333	8.26212933333333	4.98917986666667	5.511404
ENSONIG00000002864	35.8758333333333	33.175	16.0488333333333	27.5347	53.5757666666667	3.68774666666667	11.8885333333333	72.4656666666667
ENSONIG00000002865	0.140508	0.597262666666667	0	0.0514940333333333	0	0.0116704666666667	1.22252	0.088295
