Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis	Tau	Mean	Max
ENSRNOG00000057465	2.11106771326273	0	0	0	0	0	1	0.444438244751819	2.11106771326273
ENSRNOG00000057467	0	0	0	0	0	0	0	0	0
ENSRNOG00000057468	0	0	0	0	0	2.02866073213699	1	0.432665818876714	2.02866073213699
ENSRNOG00000057469	0	0	0	0	0	0.994054683190121	1	0.284864954741446	1
ENSRNOG00000057470	4.68942463599676	5.08899412800465	5.04419859907312	4.86394979574902	6.46466045891812	4.67103062858149	0.246438449716156	4.43838524229133	6.46466045891812
ENSRNOG00000057472	3.97323608929458	1.50168167588515	0.390932870571902	1.54345876386486	0	1.01120792989048	0.776138082899475	1.31380791605806	3.97323608929458
ENSRNOG00000057474	0	0.216660971886304	0	0	0	0	1	0.173808710269472	1
ENSRNOG00000057477	0	0	0	0	0	0	0	0	0
ENSRNOG00000057478	3.03702809443846	1.11676995867595	2.11472215743139	1.6002459621677	0	0.882711905841265	0.62368145394632	1.33930850464301	3.03702809443846
ENSRNOG00000057482	0.164413008126976	0	0	0	0	0.517708058928168	0.936484277077948	0.231229334876156	0.936484277077948
ENSRNOG00000057483	0	0	0	0	0	0.325438226400462	1	0.189348318057209	1
ENSRNOG00000057484	1.77739193975232	0	0	0	0	0	1	0.396770277107474	1.77739193975232
ENSRNOG00000057485	1.93434891654939	0	0	0	0	0	1	0.419192702364198	1.93434891654939
ENSRNOG00000057488	0	0	0	0	0	0	0	0	0
ENSRNOG00000057489	0.205643992981197	1.70999504598467	0	0	0	1.30777181662003	0.822991790162789	0.578057520821241	1.70999504598467
ENSRNOG00000057490	1.35923215268361	0	2.94588295751738	1.4314138273139	0.162353138376421	3.87989197169576	0.695925447464811	1.49638564215027	3.87989197169576
ENSRNOG00000057494	0.431010988184381	0	0	0	0	0	1	0.204430141169197	1
ENSRNOG00000057495	0	0	0	0	0	1.09708216104237	1	0.299583165863196	1.09708216104237
ENSRNOG00000057496	0	0	0	0	0	0	0	0	0
ENSRNOG00000057498	2.90590903678809	0	0	0	0	1.96530185912229	0.864737551365714	0.819421206753727	2.90590903678809
ENSRNOG00000057499	4.97873502903746	0	4.84569999170492	4.66307917094225	0	3.8602668002106	0.462954108427721	2.68724787147471	4.97873502903746
ENSRNOG00000057500	0.281456124043599	0	0	0	0	1.45260703103584	0.96124813965097	0.385044470675773	1.45260703103584
ENSRNOG00000057501	6.48137173328706	1.59295019022353	4.97927395237683	0	0	0	0.797196506756534	1.97868462609199	6.48137173328706
ENSRNOG00000057502	7.45063446268934	5.95361322742978	6.43654322206078	4.51701214104398	4.92899014599791	6.22194395686947	0.246826486149363	5.10793766317723	7.45063446268934
ENSRNOG00000057504	0	0	0	0	0	1.47741000274914	1	0.353915714678448	1.47741000274914
ENSRNOG00000057506	0	0	0	0	0	2.93892916756257	1	0.562704166794653	2.93892916756257
ENSRNOG00000057508	0	0	0	2.85763809044074	0	0	1	0.551091155777248	2.85763809044074
ENSRNOG00000057509	0.318456837429476	0	0	0	0	0	1	0.188350976775639	1
ENSRNOG00000057511	0	0	0	0	0	3.98662700475103	1	0.712375286393005	3.98662700475103
ENSRNOG00000057512	2.14039683085822	0	0	0	0	0	1	0.448628118694031	2.14039683085822
ENSRNOG00000057514	9.21442858902733	8.67364302831869	9.29457074991239	5.05108340330772	8.59707205778423	8.69549140185132	0.134296363698807	7.09436937055721	9.29457074991239
ENSRNOG00000057515	0.373815228588973	0	0	0	0	0	1	0.196259318369853	1
ENSRNOG00000057517	0	0.0183350651892865	1.12173491076263	0	1.05206456835123	1.63314659586412	0.731544669675749	0.650975115691858	1.63314659586412
ENSRNOG00000057518	0.7150999995511	0	0.114722823639063	0.185208145668324	0	0	0.916114957489675	0.275877989478309	0.916114957489675
ENSRNOG00000057520	0	0	0	0	0	2.98140260834481	1	0.568771801192116	2.98140260834481
ENSRNOG00000057522	0	1.86600193039076	0	1.75573705279187	1.40092860658885	0	0.661665338286154	0.812047561151089	1.86600193039076
ENSRNOG00000057523	1.43555979105834	0	0	0	0	0	1	0.347937113008334	1.43555979105834
ENSRNOG00000057526	0	0	0	0	0	0	0	0	0
ENSRNOG00000057527	2.68150818634101	2.4130139633914	2.57696007994609	2.01016396650556	3.21900119686478	3.64758437075291	0.29264707369135	2.40583983392759	3.64758437075291
ENSRNOG00000057530	0	0	0	0	0	0.00324673585101356	1	0.143320962264431	1
ENSRNOG00000057531	2.95738124134783	0	0	0	0	0	1	0.565340177335404	2.95738124134783
ENSRNOG00000057532	0	0	0	0	0	1.90880483938254	1	0.415543548483219	1.90880483938254
ENSRNOG00000057534	0	0	0	0	0	3.75515432263769	1	0.679307760376813	3.75515432263769
ENSRNOG00000057537	4.80054211894578	4.18923297216368	3.79293820606213	2.77981126452777	3.02304097282948	2.6841488394821	0.313861982792816	3.08336805097197	4.80054211894578
ENSRNOG00000057538	0	0	0	0	0	0	0	0	0
ENSRNOG00000057539	0	0	0	0	0	1.07406420289224	1	0.296294886127462	1.07406420289224
ENSRNOG00000057541	0	0	0	0	0	4.12090006366136	1	0.731557151951623	4.12090006366136
ENSRNOG00000057542	2.12221615203712	0	0	0	0	0	1	0.446030878862446	2.12221615203712
ENSRNOG00000057543	0.615740208087602	0.171582186795777	0	0	0	0.0720577670278429	0.920862743532592	0.254320415063402	0.920862743532592
ENSRNOG00000057545	1.40496359638729	1.33528772763432	0.251497332199384	0	1.45464600879759	0.14593434615161	0.568598410417911	0.737275345941157	1.45464600879759
ENSRNOG00000057547	0.305418427691984	0	0	0	0	0	1	0.186488346813141	1
ENSRNOG00000057548	0	0	0	0	0	0	0	0	0
ENSRNOG00000057549	2.29011088148761	0	0	0	0	0	1	0.470015840212516	2.29011088148761
ENSRNOG00000057552	0	0	0	0	0	0.320791958109045	1	0.188684565444149	1
ENSRNOG00000057554	0	0	0	0	0	4.43647156431329	1	0.776638794901899	4.43647156431329
ENSRNOG00000057555	0	0	0	0	0	3.45024578259921	1	0.635749397514172	3.45024578259921
ENSRNOG00000057556	4.20382571902398	3.97271397265245	3.51056094620191	1.54594514745713	5.62901645369424	0	0.529827425654411	2.77026995209773	5.62901645369424
ENSRNOG00000057557	0	0	6.84651569336008	1.03650122376298	0	0	0.969721789295884	1.26467695805985	6.84651569336008
