data1	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis
ENSMPUG00000014345	3.37219528506081	2.51301986654016	4.70573480381037	2.99068005680942	3.50690428453983	4.41016899027494
ENSMPUG00000014346	3.45112265480929	3.29630686821558	7.64461580048975	4.5830666855147	6.52600310841764	3.00594920003429
ENSMPUG00000014347	3.86300622506665	2.81435516228262	3.4968832189293	0.705714328104999	4.37011203923155	0.300410573427108
ENSMPUG00000014348	1.01467136154042	1.4838764414418	1.73244699462726	0.409021995712123	3.46622600583375	0
ENSMPUG00000014349	2.32322869245669	2.26770373486795	0	0	2.75196251683781	0.771235907363688
ENSMPUG00000014350	3.34704545181436	3.14924580927598	5.17111046930057	3.59836193684265	5.85972721592373	5.04303641841066
ENSMPUG00000014353	4.43135892576143	2.57433531630883	4.34116618564782	2.65857382452553	3.0205191912238	4.48487894054157
ENSMPUG00000014354	4.60036126067806	3.56807852238554	5.73729973954288	4.96988989202045	3.62326976103932	6.44018312131567
ENSMPUG00000014355	5.58178981697725	3.70248935447464	5.83684535324611	3.56282487279246	6.95966572245258	3.24935890339979
ENSMPUG00000014356	3.33267065321359	2.62914767907481	5.08581139382144	3.26995091332862	3.11627805115595	1.76906538986435
ENSMPUG00000014357	3.41422879392135	1.28871150929797	0	0	0	0
ENSMPUG00000014358	0.980038719010272	0.938658712336756	2.09315141490483	1.42295535247753	0	0
ENSMPUG00000014359	3.79315722868677	2.55509902528792	5.0827161584699	2.97685054916699	4.13031940775689	4.89743271911719
ENSMPUG00000014360	4.63756973450941	2.65223381380389	2.24082423324251	1.71310141219283	2.12847120134532	2.94400848981095
ENSMPUG00000014361	4.59662154284154	3.2393838950848	5.3248144539113	3.57449855623609	4.31789185617272	5.01508157728128
ENSMPUG00000014362	1.77620573427805	1.84672085340934	2.58067508216836	1.1594953192671	2.3327778448889	3.00852061533914
ENSMPUG00000014363	1.01088076307315	0.311720447712674	0.31778550478079	0	0	0
ENSMPUG00000014364	0.244171327373066	1.46229641927313	0	0	0	0.158864591447579
ENSMPUG00000014365	0	0	0	0	0	0
ENSMPUG00000014366	3.31451252627718	2.45857774775697	4.74924237093608	2.22475946789874	3.58758340445525	5.36758751907148
ENSMPUG00000014367	3.74987488435919	2.6150102953904	3.96573935805614	2.52113667885849	3.97330939950689	4.22096252005376
ENSMPUG00000014368	2.27700586864415	2.60392875092883	2.32540629193553	2.10090042776004	3.02373709405759	2.37999961330385
ENSMPUG00000014369	3.29155504070833	2.71837178195426	3.96665592091712	4.21463913059897	1.95362907522651	3.41073324109133
ENSMPUG00000014370	4.80943382413717	0	0	0	0	0
ENSMPUG00000014371	0	1.25650993327008	0	0	0	0
ENSMPUG00000014373	3.38788324777666	1.57738345098908	2.42099011074611	0.721049576820662	4.03284545046516	0.399683990869423
ENSMPUG00000014374	2.68864582516766	1.45174297421782	0.554050248461091	1.07263907445028	3.39715155035668	6.89840653939855
ENSMPUG00000014375	4.41045902267533	2.77880222655338	5.30767613832277	2.87527362673785	3.10810106497548	5.09746219688563
ENSMPUG00000014376	3.60630543014584	3.61157292590204	3.71162623681299	2.77257276261005	5.8837032264797	7.15351355266973
ENSMPUG00000014377	4.81293076245529	0	0	0	0	2.74453527689898
ENSMPUG00000014378	3.63871073153536	2.44209773260278	4.56887489436687	2.73808099373364	3.23438120324414	4.29273050103768
ENSMPUG00000014379	0	0	0	1.1243524752	0	0
ENSMPUG00000014381	0.298981067792252	0	0	0	0	0
ENSMPUG00000014382	2.74928004887463	1.08263595192754	0.938378801349777	1.89849727934002	0.217296024712024	4.4686902751253
ENSMPUG00000014383	0	0	0	1.63693742444392	0	0.970582338017849
ENSMPUG00000014384	1.08767134628575	0.424345956140679	1.4679486741874	1.15489079611555	0.0336953001008032	2.33765547775102
ENSMPUG00000014385	3.99372670253335	2.6865842561242	5.0468222647847	2.98025774247363	3.81508858284973	4.1266532408555
ENSMPUG00000014386	4.28463808390163	2.63329784780121	4.12890944818561	2.23682788258195	2.96098733615491	4.81017420937106
ENSMPUG00000014387	3.70250026134281	2.99417681881866	4.52113520728106	3.08203427551415	4.25364533287696	6.45684867712202
ENSMPUG00000014388	0	0	4.10952276802365	4.3603455541078	0	0
ENSMPUG00000014389	2.75066428365935	1.71520769406082	2.44857474829181	3.03089691506044	1.6386230707846	1.39289797722039
