Gene,From,To,JumpProbability
1007,34,7,1e-04
1007,34,8,0
1007,33,9,6e-04
1007,32,35,0.0133
1007,35,10,0.9998
1007,35,11,2e-04
1007,31,36,0.0068
1007,36,12,4e-04
1007,36,37,0.0055
1007,37,13,2e-04
1007,37,14,4e-04
1007,29,38,4e-04
1007,38,39,0.0223
1007,39,40,0.005
1007,40,41,0.0197
1007,41,15,0.001
1007,41,16,6e-04
1007,40,17,0.0017
1007,39,42,0.0174
1007,42,18,0.002
1007,42,19,0.0013
1007,38,43,0.0239
1007,43,44,0.0055
1007,44,45,0.0186
1007,45,20,0.0037
1007,45,21,0.0092
1007,44,22,0.0019
1007,43,23,0.0015
1008,26,27,6e-04
1008,27,28,0.0014
1008,28,29,8e-04
1008,29,30,8e-04
1008,30,31,0.0027
1008,31,1,0.0026
1008,31,2,0.0017
1008,30,3,0.1404
1008,29,4,0.0058
1008,28,32,9e-04
1008,32,33,3e-04
1008,33,34,0.0014
1008,34,5,0.0037
1008,34,6,0.0061
1008,33,7,0.0032
1008,32,35,0.0011
1008,35,8,0.0026
1008,35,9,0.0017
1008,27,36,0.0019
1008,36,37,4e-04
1008,37,38,0.0019
1008,38,10,0.0019
1008,38,11,0.0024
1008,37,12,0.006
1008,36,39,0.0011
1008,39,13,0.0038
1008,39,14,0.0028
1008,26,40,0.0019
1008,40,41,0.0114
1008,41,15,0.0369
1008,41,16,0.004
1008,40,42,0.0021
1008,42,17,0.0053
1008,42,43,0.0012
1008,43,44,0
1008,44,45,0.0013
1008,45,18,2e-04
1008,45,19,3e-04
1008,44,46,0
1008,46,47,0.001
1008,47,20,8e-04
1008,47,21,1
1008,46,22,0.0012
1008,43,48,9e-04
1008,48,49,0.0011
1008,49,23,3e-04
1008,49,24,3e-04
1008,48,25,0.9991
1010,22,23,0.0243
1010,23,24,0.0274
1010,24,25,0.1307
1010,25,1,0.117
1010,25,2,0.0992
1010,24,26,0.028
1010,26,27,0.0303
1010,27,3,0.2581
1010,27,4,0.226
1010,26,28,0.0269
1010,28,29,0.0185
1010,29,30,0.051
1010,30,5,0.0671
1010,30,6,0.0656
1010,29,7,0.1357
1010,28,31,0.2054
1010,31,8,0.8769
1010,31,9,0.1224
1010,23,10,0.2479
1010,22,32,0.0701
1010,32,11,0.2155
1010,32,33,0.0949
1010,33,34,0.0353
1010,34,35,0.0023
1010,35,36,0.0355
1010,36,12,0.0115
1010,36,13,0.0176
1010,35,37,0.0035
1010,37,14,0.0524
1010,37,38,0.0405
1010,38,15,0.0057
1010,38,16,0.011
1010,34,39,0.0351
1010,39,40,0.0156
1010,40,17,0.0367
1010,40,18,0.0329
1010,39,41,0.541
1010,41,19,0.1547
1010,41,20,0.5754
1010,33,21,0.1205
1013,25,26,0.9677
1013,26,27,0.7592
1013,27,1,0.2688
1013,27,28,0.2886
1013,28,29,0.022
1013,29,30,0.0481
1013,30,31,0.2547
1013,31,2,0.0261
1013,31,3,0.0327
1013,30,4,0.1012
1013,29,32,0.2764
1013,32,5,1
1013,32,6,0.0415
1013,28,33,0.1412
1013,33,7,0.2633
1013,33,34,0.1321
1013,34,8,0.0397
1013,34,9,0.0387
1013,26,35,0.654
1013,35,10,0.989
1013,35,36,0.3262
1013,36,11,0.9181
1013,36,12,0.444
1013,25,37,0.9743
1013,37,38,0.5987
1013,38,13,0.7337
1013,38,39,0.5438
1013,39,14,0.3276
1013,39,40,0.2839
1013,40,41,0.0227
1013,41,42,0.277
1013,42,15,0.9583
1013,42,16,0.0883
1013,41,43,0.0493
1013,43,17,0.1533
1013,43,44,0.2478
1013,44,18,0.2227
1013,44,19,1
1013,40,45,0.1472
1013,45,46,0.1303
1013,46,20,0.0442
1013,46,21,0.0399
1013,45,22,0.1161
1013,37,47,0.6527
1013,47,23,0.6165
1013,47,24,0.8153
1015,24,25,0.9316
1015,25,26,0.9984
1015,26,27,0.556
1015,27,1,0.3609
1015,27,2,0.3957
1015,26,3,0.5653
1015,25,28,0.9637
1015,28,29,0.8569
1015,29,30,0.5269
1015,30,4,1
1015,30,5,0.6733
1015,29,31,0.2031
1015,31,32,0.568
1015,32,6,0.728
1015,32,7,0.7837
1015,31,8,0.9251
1015,28,33,0.6357
1015,33,9,0.8691
1015,33,34,0.7581
1015,34,10,1
1015,34,35,0.453
1015,35,36,0.0427
1015,36,37,0.4533
1015,37,11,0.8177
1015,37,12,0.2421
1015,36,38,0.0882
1015,38,39,0.4206
1015,39,13,0.134
1015,39,14,0.1352
1015,38,15,1
1015,35,40,0.2511
1015,40,41,0.2188
1015,41,16,0.8176
1015,41,17,0.9917
1015,40,18,1
1015,24,42,1
1015,42,43,0.5227
1015,43,19,0.9854
1015,43,20,0.3832
