Gene stable ID	Transcript stable ID
ENSAMXG00000000131	ENSAMXT00000000131
ENSAMXG00000000131	ENSAMXT00000000132
ENSAMXG00000000132	ENSAMXT00000000135
ENSAMXG00000000133	ENSAMXT00000000137
ENSAMXG00000000134	ENSAMXT00000000134
ENSAMXG00000000135	ENSAMXT00000000136
ENSAMXG00000000136	ENSAMXT00000000138
ENSAMXG00000000137	ENSAMXT00000000139
ENSAMXG00000000138	ENSAMXT00000000140
ENSAMXG00000000139	ENSAMXT00000000141
ENSAMXG00000000140	ENSAMXT00000000142
ENSAMXG00000000141	ENSAMXT00000000143
ENSAMXG00000000142	ENSAMXT00000000144
ENSAMXG00000000143	ENSAMXT00000000145
ENSAMXG00000000144	ENSAMXT00000000147
ENSAMXG00000000145	ENSAMXT00000000151
ENSAMXG00000000146	ENSAMXT00000000148
ENSAMXG00000000147	ENSAMXT00000000149
ENSAMXG00000000148	ENSAMXT00000000150
ENSAMXG00000000149	ENSAMXT00000000152
ENSAMXG00000000150	ENSAMXT00000000154
ENSAMXG00000000151	ENSAMXT00000000153
ENSAMXG00000000152	ENSAMXT00000000158
ENSAMXG00000000153	ENSAMXT00000000155
ENSAMXG00000000154	ENSAMXT00000000156
ENSAMXG00000000155	ENSAMXT00000000167
ENSAMXG00000000156	ENSAMXT00000000157
ENSAMXG00000000157	ENSAMXT00000000159
ENSAMXG00000000158	ENSAMXT00000000165
ENSAMXG00000000159	ENSAMXT00000000179
ENSAMXG00000000159	ENSAMXT00000000180
ENSAMXG00000000160	ENSAMXT00000000160
ENSAMXG00000000161	ENSAMXT00000000161
ENSAMXG00000000162	ENSAMXT00000000162
ENSAMXG00000000163	ENSAMXT00000000163
ENSAMXG00000000164	ENSAMXT00000000164
ENSAMXG00000000165	ENSAMXT00000000166
ENSAMXG00000000166	ENSAMXT00000000168
ENSAMXG00000000167	ENSAMXT00000000172
ENSAMXG00000000168	ENSAMXT00000000169
ENSAMXG00000000169	ENSAMXT00000000170
ENSAMXG00000000170	ENSAMXT00000000171
ENSAMXG00000000171	ENSAMXT00000000173
ENSAMXG00000000172	ENSAMXT00000000174
ENSAMXG00000000173	ENSAMXT00000000176
ENSAMXG00000000174	ENSAMXT00000000175
ENSAMXG00000000175	ENSAMXT00000000177
ENSAMXG00000000176	ENSAMXT00000000188
ENSAMXG00000000177	ENSAMXT00000000178
ENSAMXG00000000178	ENSAMXT00000000181
ENSAMXG00000000178	ENSAMXT00000000182
ENSAMXG00000000179	ENSAMXT00000000183
ENSAMXG00000000180	ENSAMXT00000000191
ENSAMXG00000000181	ENSAMXT00000000184
ENSAMXG00000000182	ENSAMXT00000000185
ENSAMXG00000000183	ENSAMXT00000000186
ENSAMXG00000000184	ENSAMXT00000000187
ENSAMXG00000000185	ENSAMXT00000000189
ENSAMXG00000000185	ENSAMXT00000000190
ENSAMXG00000000186	ENSAMXT00000000192
ENSAMXG00000000187	ENSAMXT00000000202
ENSAMXG00000000188	ENSAMXT00000000193
ENSAMXG00000000189	ENSAMXT00000000195
ENSAMXG00000000190	ENSAMXT00000000194
ENSAMXG00000000191	ENSAMXT00000000196
ENSAMXG00000000192	ENSAMXT00000000197
ENSAMXG00000000193	ENSAMXT00000000198
ENSAMXG00000000194	ENSAMXT00000000199
ENSAMXG00000000194	ENSAMXT00000000200
ENSAMXG00000000195	ENSAMXT00000000201
ENSAMXG00000000196	ENSAMXT00000000203
