Gene stable ID	Transcript stable ID
ENSORLG00000000135	ENSORLT00000000166
ENSORLG00000000136	ENSORLT00000000167
ENSORLG00000000137	ENSORLT00000000168
ENSORLG00000000138	ENSORLT00000000174
ENSORLG00000000139	ENSORLT00000000169
ENSORLG00000000140	ENSORLT00000000170
ENSORLG00000000142	ENSORLT00000000172
ENSORLG00000000143	ENSORLT00000000173
ENSORLG00000000144	ENSORLT00000000175
ENSORLG00000000145	ENSORLT00000000178
ENSORLG00000000146	ENSORLT00000000183
ENSORLG00000000147	ENSORLT00000000176
ENSORLG00000000148	ENSORLT00000000177
ENSORLG00000000149	ENSORLT00000000201
ENSORLG00000000151	ENSORLT00000000181
ENSORLG00000000152	ENSORLT00000000180
ENSORLG00000000152	ENSORLT00000000182
ENSORLG00000000152	ENSORLT00000000184
ENSORLG00000000153	ENSORLT00000000188
ENSORLG00000000153	ENSORLT00000000190
ENSORLG00000000154	ENSORLT00000000185
ENSORLG00000000154	ENSORLT00000000187
ENSORLG00000000156	ENSORLT00000000186
ENSORLG00000000157	ENSORLT00000000189
ENSORLG00000000158	ENSORLT00000000195
ENSORLG00000000159	ENSORLT00000000191
ENSORLG00000000160	ENSORLT00000000192
ENSORLG00000000161	ENSORLT00000000194
ENSORLG00000000162	ENSORLT00000000200
ENSORLG00000000163	ENSORLT00000000196
ENSORLG00000000164	ENSORLT00000000197
ENSORLG00000000165	ENSORLT00000000198
ENSORLG00000000166	ENSORLT00000000199
ENSORLG00000000167	ENSORLT00000000202
ENSORLG00000000168	ENSORLT00000000203
ENSORLG00000000170	ENSORLT00000000205
ENSORLG00000000171	ENSORLT00000000208
ENSORLG00000000171	ENSORLT00000000209
ENSORLG00000000171	ENSORLT00000000210
ENSORLG00000000172	ENSORLT00000000206
ENSORLG00000000173	ENSORLT00000000207
ENSORLG00000000174	ENSORLT00000000212
ENSORLG00000000174	ENSORLT00000000213
ENSORLG00000000175	ENSORLT00000000211
ENSORLG00000000176	ENSORLT00000000214
ENSORLG00000000177	ENSORLT00000000217
ENSORLG00000000177	ENSORLT00000000218
ENSORLG00000000178	ENSORLT00000000215
ENSORLG00000000178	ENSORLT00000000216
ENSORLG00000000179	ENSORLT00000000220
ENSORLG00000000179	ENSORLT00000000222
ENSORLG00000000180	ENSORLT00000000219
ENSORLG00000000181	ENSORLT00000000227
ENSORLG00000000181	ENSORLT00000000238
ENSORLG00000000182	ENSORLT00000000241
ENSORLG00000000182	ENSORLT00000000251
ENSORLG00000000183	ENSORLT00000000221
ENSORLG00000000184	ENSORLT00000000244
ENSORLG00000000184	ENSORLT00000000249
ENSORLG00000000187	ENSORLT00000000225
ENSORLG00000000189	ENSORLT00000000230
ENSORLG00000000190	ENSORLT00000000228
ENSORLG00000000191	ENSORLT00000000229
ENSORLG00000000195	ENSORLT00000000234
ENSORLG00000000196	ENSORLT00000000235
ENSORLG00000000197	ENSORLT00000000236
ENSORLG00000000198	ENSORLT00000000250
ENSORLG00000000198	ENSORLT00000000253
ENSORLG00000000199	ENSORLT00000000237
ENSORLG00000000200	ENSORLT00000000243
ENSORLG00000000201	ENSORLT00000000239
ENSORLG00000000201	ENSORLT00000000240
ENSORLG00000000202	ENSORLT00000000242
ENSORLG00000000202	ENSORLT00000000245
ENSORLG00000000203	ENSORLT00000000254
ENSORLG00000000203	ENSORLT00000000256
ENSORLG00000000204	ENSORLT00000000246
ENSORLG00000000205	ENSORLT00000000247
ENSORLG00000000205	ENSORLT00000000248
ENSORLG00000000206	ENSORLT00000000252
ENSORLG00000000207	ENSORLT00000000257
ENSORLG00000000208	ENSORLT00000000255
ENSORLG00000000208	ENSORLT00000000258
ENSORLG00000000209	ENSORLT00000000259
ENSORLG00000000209	ENSORLT00000000260
ENSORLG00000000210	ENSORLT00000000261
ENSORLG00000000210	ENSORLT00000000262
ENSORLG00000000211	ENSORLT00000000263
ENSORLG00000000212	ENSORLT00000000265
ENSORLG00000000213	ENSORLT00000000264
ENSORLG00000000214	ENSORLT00000000268
ENSORLG00000000215	ENSORLT00000000266
ENSORLG00000000216	ENSORLT00000000267
ENSORLG00000000217	ENSORLT00000000269
ENSORLG00000000218	ENSORLT00000000272
ENSORLG00000000219	ENSORLT00000000276
