Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSORLG00000004600	0.991477	54.1763	0.854455	0.52248	0.240218	0.0835056	0.426294	0	0	0.867792	0.518102
ENSORLG00000004601	7.1774	21.9235	12.6242	8.21611	5.75894	7.37494	28.8435	6.23401	1.04003	19.2477	24.0904
ENSORLG00000004602	22.19254	7.672759	18.15077	62.02921	8.403345	1.17023	6.868607	0.462488	0.765551	12.44107	66.24117
ENSORLG00000004603	5.9247	7.39848	16.599	7.56916	7.06331	9.32506	6.24158	1.47824	2.83045	20.2584	9.53023
ENSORLG00000004604	17.8265	62.8277	9.47465	15.6605	27.9078	5.80505	30.7321	13.8825	7.46263	1.22761	8.60343
ENSORLG00000004605	9.4905	25.1386	26.7036	21.044	14.3886	19.9076	26.1256	3.49426	3.63773	8.27465	10.8874
ENSORLG00000004606	4.15578	79.625	0.402946	0.0346647	0	0.091331	0.0388653	0	0.0633948	0.0370247	0.659708
ENSORLG00000004608	1.46217	0.67066	1.44632	0.0449328	6.0783	0.118281	0	0.0172958	0	3.49731	94.5255
ENSORLG00000004609	11.5933	9.08128	2.62608	8.7723	4.00295	13.2626	11.2	0.47104	5.98549	0.160146	2.32171
ENSORLG00000004610	0.508884	0.292381	18.6211	0.270104	4.94303	0.039565	88.5221	33.5063	0.0274719	0.135303	0.572547
ENSORLG00000004611	3.0642	5.54938	0	4.17941	0.624514	0.753775	0	0	0.532166	0.482869	0.844738
ENSORLG00000004613	7.93632	29.7442	3.67598	6.82531	4.69908	9.57538	9.885802	6.678416	8.77722	0.386966	5.00554
ENSORLG00000004614	6.65894	14.8978	14.1059	10.4288	7.81149	11.3189	9.89948	2.33345	3.55107	16.3221	61.0566
ENSORLG00000004615	1.66122	4.1284	5.26463	5.9294	9.12195	4.30555	2.99045	0.70587	0.755172	0.992343	62.2684
ENSORLG00000004617	0	226.032	0.0730281	0.0688542	0.0498066	0.181855	0	0	0	0.014954	0.188712
ENSORLG00000004618	2.321702	16.95769	2.16896	7.149258	0	18.44411	1.294652	0.173412	0.257105	0.0781886	4.23376
ENSORLG00000004619	6.73125	20.9728	8.23209	13.4701	7.78595	8.28131	11.1937	2.54765	3.90998	2.15193	12.5813
ENSORLG00000004620	4.11161	18.653	7.76957	5.08415	6.23721	7.51586	13.1356	2.08178	2.65671	4.43029	9.19788
ENSORLG00000004621	14.13634	53.298491	46.1434	45.6817	12.24492	44.575688	26.88262	4.546609	2.853356	4.845259	70.4575
ENSORLG00000004622	703.076	614.338	1135.02	1426.3	765.047	1278.83	1259.09	1260.57	90.6872	249.69	326.855
ENSORLG00000004623	1.711	19.4401	3.85942	3.19864	0.20732	0.32428	0.597889	0	0.10006	2.4603	2.82864
ENSORLG00000004624	13.72183	48.1503	24.7115	15.72193	10.03781	19.99434	32.7515	8.81109	13.45393	6.02912	12.47461
ENSORLG00000004625	13.0216	31.3253	29.1334	28.1434	23.426	21.7891	23.6341	8.54866	6.75977	6.42773	36.955
ENSORLG00000004626	9.27904	11.73364	28.31913	50.732883	27.25493	19.971712	46.707333	6.823948	1.340087	10.636899	20.44334
ENSORLG00000004627	0.673325	4.79941	0.984383	2.14675	0.111414	0.543162	0	0	0	13.261	0.571502
ENSORLG00000004628	14.943511	2.34898	15.027615	16.604299	20.93887	79.098995	4.41534	11.0137	6.226726	10.9901	35.049638
ENSORLG00000004629	0.0309797	0.0926044	0.150738	0.0713151	0.0514899	0.0939535	34.0233	11.6865	0.0217391	0.754445	0.48483
ENSORLG00000004630	2.82009	61.2669	0.836569	0.333861	0.100393	0.0488909	0.1248525	0.04291077	0.0169482	0.517013	0.621119
ENSORLG00000004631	1.930064	10.843632	3.4334	0.0347723	0.326359	0.824681	0.116958	0.080436	0	0.0668547	2.652226
ENSORLG00000004632	5.46749	5.02526	5.67993	18.1321	18.4111	60.1887	20.2884	1.04576	1.0331	1.14369	4.61583
ENSORLG00000004633	10.172	22.6749	55.4607	36.0618	26.7985	10.6369	18.9597	21.0074	3.04988	9.9301	20.7585
ENSORLG00000004634	4.64719	10.7393	5.9756	10.733	6.34328	2.88029	31.7504	6.47158	1.07511	1.40866	3.17272
ENSORLG00000004636	19.2293	86.1293	0.823362	0.10624	0.0767049	0.279925	0.0794122	0	0.0215897	0.0151352	0.417284
ENSORLG00000004637	2.8212	92.0071	0.0919132	0.0580207	0	0	0.0325169	0	0	0.0494423	0.525112
ENSORLG00000004638	22.3166	54.0573	19.60999	18.95629	14.88133	27.15626	24.72632	5.05649	13.17239	3.58129	39.7596
ENSORLG00000004640	13.46418	26.38936	36.3464	20.03816	22.1711	19.42337	11.50343	3.266759	3.63007	14.05175	40.4989
ENSORLG00000004641	1.27417	52.3978	1.16713	0.13188	0.0712963	2.31177	0.428218	0.491405	0.212429	0.151492	3.43135
ENSORLG00000004642	2.13339	9.20155	14.3101	2.42057	7.26904	2.00265	0.550655	10.0088	2.45941	3.41037	6.54973
ENSORLG00000004643	4.935273	37.36045	3.177937	9.487363	2.329794	32.05544	2.691246	0.807238	3.941596	0.785189	4.65829
ENSORLG00000004644	7.68416	20.2289	32.2882	17.2522	13.2806	11.2573	12.2955	7.67318	2.43512	28.2195	24.303
ENSORLG00000004645	13.425	8.3404	38.4395	19.5258	19.3362	13.4244	20.3988	3.66904	7.28116	25.1204	12.6197
ENSORLG00000004646	9.22122	77.6469	27.6657	15.4704	9.39988	4.19071	1.82436	0.216697	1.60951	0.77427	10.5681
ENSORLG00000004647	17.5702	41.3754	102.424	37.5151	25.5245	28.8781	29.7454	13.8081	11.8849	25.646	28.5623
ENSORLG00000004648	0.821381	12.7155	0	0.0610226	0	0	0.0342018	0	0	0.00650473	0.276237
ENSORLG00000004649	0	269.168	0.855115	0.782189	0.288056	0.703582	2.2361	0	0	0.19803	0.382432
ENSORLG00000004650	13.93305	309.127	4.7481	6.21045	7.57857	27.5249	1.386595	5.11369	1.670047	1.348295	1.213914
ENSORLG00000004652	16.7268000009053	46.20025	20.7987000010495	37.76173	27.6477000025904	47.70292	46.28512	2.87023	4.35255	22.9560000014935	25.85975
ENSORLG00000004653	23.0215	58.9006	73.0386	63.764	25.0059	23.9004	46.1907	9.74697	13.5302	48.1687	78.5419
ENSORLG00000004654	0.101001	0.05031	0.122866	0.0387396	0.0279751	0	31.713	13.7179	0	0.0663332	0.491977
ENSORLG00000004655	2.7964	5.60727	18.5766	11.3007	12.595	5.05804	22.6437	2.77673	0.826293	2.02365	16.3694
ENSORLG00000004656	6.85998	32.6561	6.14567	10.1505	6.69977	8.09319	9.24013	1.8995	3.31586	3.60711	19.0379
ENSORLG00000004657	0.511802	2.61575	0.266995	0.837855	0.181976	0.073843	0	0	0.205342	0	0.230451
ENSORLG00000004658	12.261	5.48097	9.14179	22.81928	54.1166	195.9431	17.88372	1.97253	2.412839	18.04976	24.0312
ENSORLG00000004659	11.8975	159.912	0.526859	0.370482	3.58302	0.218279	1.11213	0.192651	0	0.0275499	0.114277
ENSORLG00000004660	2.68395	4.79149	23.6954	8.09844	10.4871	4.09448	10.7193	10.5667	0.738799	6.95429	16.7515
ENSORLG00000004661	7.12672	13.0104	9.77025	3.12707	3.44694	11.4273	0.414668	0.0259231	0.799316	0.265628	2.43716
ENSORLG00000004662	57.9644	6.01948	5.74103	39.6497	5.90642	17.3508	2.28979	0.435144	7.07709	0.339076	2.25101
ENSORLG00000004663	16.499	12.353	26.6242	26.0223	5.90446	105.537	11.9662	1.38586	15.8716	1.47091	15.9634
ENSORLG00000004664	27.7966	31.9067	1.93146	6.1688	31.858	19.4529	27.7582	41.0262	15.9209	2.50309	2.16607
ENSORLG00000004665	9.66204	45.8583	16.3937	21.4432	10.1596	5.14864	2.79062	12.2791	2.36385	30.2853	48.6374
ENSORLG00000004666	18.7004	48.3741	177.297	71.3541	51.065	25.4859	65.2059	11.5002	7.50314	20.3146	51.5178
ENSORLG00000004667	25.071304	77.12766	75.91245	54.19595	31.92544	28.19679	41.81562	12.026768	8.957	22.14998	85.817899
ENSORLG00000004668	2.22777	12.3325	4.29934	6.75909	2.93605	2.82178	3.0899	0.829529	0.273794	0.195774	8.89203
ENSORLG00000004669	0.75652	0.62012	0.110244	0.35844	2.558825	0.283344	0.1203515	0.0689196	0.0363436	0.0473483	60.6612
ENSORLG00000004671	3.30269	6.22788	8.41882	2.8596	5.22382	7.55412	24.49	1.93853	0.262478	16.4015	74.2411
ENSORLG00000004672	5.20098	5.99316	3.07585	4.61674	3.4111	51.4039	0.4928	1.8841	1.94182	0.134553	9.47249
ENSORLG00000004673	4.80467	118.7072	1.010515	0.5878078	0.321212	1.259172	1.199602	0.0807928	0.1485357	0.1502928	1.654977
ENSORLG00000004674	4.79458	16.7499	16.6199	3.83013	4.48349	1.96201	1.40776	0.593331	0.468659	3.41942	90.2312
ENSORLG00000004675	99.7301	173.328	116.052	265.366	164.959	318.599	170.517	107.03	25.3995	20.3075	239.489
ENSORLG00000004676	1.78177	1.85338	1.24842	6.26166	4.93115	1.14564	113.658	2.68646	0.1137	7.00508	4.74997
ENSORLG00000004677	2.04308	4.99484	8.85756	2.17915	7.3144	0.78849	0.431322	0.296825	0.521378	0.0916297	46.943
ENSORLG00000004679	2.15784	0.174032	13.0599	9.97327	0.919843	8.83807	0.37581	0.207306	0.0818791	0.551893	2.1393
ENSORLG00000004680	8.30443	10.7312	27.9678	8.01295	10.3361	9.2966	51.4292	4.73763	1.06891	51.4552	49.4093
ENSORLG00000004681	5.42544	20.9679	3.1357	9.62677	3.71172	11.909	2.16638	0.239442	2.14543	0.235845	2.59528
ENSORLG00000004682	2.46565	78.5407	0.214721	0	0.145514	0.532499	0	0	0	0.0462388	0.564535
ENSORLG00000004683	3.14642	3.55401	17.123306	9.3116	7.90573	5.00306	18.5133	24.0529	1.10407	1.71409	4.68965
ENSORLG00000004684	8.96884	16.91686	17.972965	21.188	8.87873	6.91232	12.8515	8.6899	2.57765	6.75104	13.6905
ENSORLG00000004685	5.55537	105.703	0.965025	0.662478	2.52734	9.47344	0.1349	0.342638	0.315001	0.035635	2.1499
ENSORLG00000004686	4.35017	8.79292	1.94337	19.7882	5.48605	4.00583	3.54896	2.54423	0.811719	2.79335	29.994
