Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSMPUG00000000088	0	0	0	0	0	0	11.16
ENSMPUG00000000089	0	0	0	0	0	0	0
ENSMPUG00000000090	0	0.45	0.32	0	0.5	0.47	0.36
ENSMPUG00000000091	0.4	0	0.36	0	0	0	0
ENSMPUG00000000092	21.03	0.51	0.14	0	0.06	8.4	7.43
ENSMPUG00000000093	63.81	0.09	0.08	0.31	0.08	0.14	0.84
ENSMPUG00000000094	28.85	6.47	74.05	8.01	28.52	2.55	1.88
ENSMPUG00000000095	5.5	11.38	5.14	3.32	36.54	5.14	8.85
ENSMPUG00000000096	0.33	0.31	0	0	0.83	0.26	0
ENSMPUG00000000097	10.98	6.73	4.46	5.55	14.78	3.74	8.56
ENSMPUG00000000098	0	0.04	0	0.03	0	0	69.04
ENSMPUG00000000099	52.47	193.16	13.22	41.8	43.87	80.02	0.94
ENSMPUG00000000100	94.3	28.35	19.24	40.76	16.78	1.79	50.99
ENSMPUG00000000101	60.24	57.93	50.87	41.39	42.99	50.97	107.81
ENSMPUG00000000102	0.22	0	0.39	0.29	0.73	0.17	72.73
ENSMPUG00000000103	24.35	18.67	2.14	4.83	22.48	6.92	5.96
ENSMPUG00000000104	65.83	93.31	118.55	9.82	37.7	8.42	287.22
ENSMPUG00000000105	19.69	18.34	10.66	9.84	25.93	18.72	18.46
ENSMPUG00000000106	52.28	48.95	64.16	45.43	51.88	66.64	17.74
ENSMPUG00000000107	21.11	7.25	4.02	5.59	12.19	4.9	25.89
ENSMPUG00000000108	0.17	1.45	0	0.23	0.14	1.6	79.93
ENSMPUG00000000109	79.64	75.24	74.61	20	20.18	110.1	31.86
ENSMPUG00000000110	2.09	0.08	0	0.03	0.04	0.03	40.75
ENSMPUG00000000111	73.14	6.49	34	18.34	14.66	7.99	92.77
ENSMPUG00000000112	116.17	82.55	1038.85	626.04	363.98	21.37	101.11
ENSMPUG00000000113	28.86	42.12	94.57	39.37	102.01	16.53	4.14
ENSMPUG00000000114	0	0	0.78	0	0	0	0
ENSMPUG00000000115	0.32	0	0.19	0.07	0	5.24	0.81
ENSMPUG00000000116	32.89	51.45	191.7	375.56	105.67	21.42	379.14
ENSMPUG00000000117	0.1	24.88	0.09	0	0	111.52	0.32
ENSMPUG00000000118	0	0	0	0	0	1.19	1.3
ENSMPUG00000000119	13.51	8.25	9.91	6.15	14.09	14.76	6.05
ENSMPUG00000000120	14.74	2.02	0.14	0.05	0.52	0.25	0.12
ENSMPUG00000000121	19.8	20.98	18.54	8.13	22.02	8.95	9.93
ENSMPUG00000000122	1.17	1.29	2.18	0	22.16	0.38	0.37
ENSMPUG00000000123	83.28	20.39	54.48	93.49	64.65	12.3	3.97
ENSMPUG00000000124	26.89	5.68	4.65	3.66	9.11	5.74	7.42
ENSMPUG00000000125	21.89	6.65	15.63	3.65	12.22	3.01	94.1
ENSMPUG00000000126	44.83	41.07	10.98	5.39	20.42	44.2	12.06
ENSMPUG00000000127	28.47	13.18	6.79	3.58	16.11	25.89	6.5
ENSMPUG00000000128	242.24	483.37	347.26	115.62	84.22	525.76	97.43
ENSMPUG00000000129	0	0	0	0	0	0	1.09
ENSMPUG00000000130	0	0	0	0	0	0	12.23
ENSMPUG00000000131	50.35	81.93	17.26	10.42	29.12	67.21	10.26
ENSMPUG00000000132	0.66	0	0.65	0.04	2.14	0	71.47
ENSMPUG00000000133	3.46	2.25	2.04	3.48	4.89	1.21	3.02
ENSMPUG00000000134	6.51	975.16	0.3	0	2.76	1923.3	45.32
ENSMPUG00000000135	0	0	0	0	0	0	34.19
ENSMPUG00000000136	0.24	2.12	0.11	0	0.29	20.42	0.09
ENSMPUG00000000137	9.64	10.01	23.88	11.82	16.81	7.1	1.55
ENSMPUG00000000138	36.36	196.16	145	68.08	153.61	203.12	9.46
ENSMPUG00000000139	28.47	17.43	18.75	5.34	17.69	10.99	15.1
ENSMPUG00000000140	112.71	2.12	0.22	0	0.73	0.25	0.24
ENSMPUG00000000141	0.52	0.25	0.23	0	0	0	0.2
ENSMPUG00000000142	670.29	51.69	66.73	0.15	4.49	1.45	3.88
