Ens.ID	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver	TPM.kidney
ENSGALG00000002453	0.18511	0.118257	5.231392	0.070089	1.07496	1.58747	1.157413	0.185825	0.462106
ENSGALG00000002454	3.918726	0.657159	0.76766	0	1.669211	0.557609	0.648657	0.017038	0.210704
ENSGALG00000002455	1.163163	0.305824	53.057284	0	0.175097	0.258198	0.127395	0.065521	0.116593
ENSGALG00000002457	16.245223	7.018413	8.711646	5.009608	13.735276	16.154785	20.866515	19.756846	12.301878
ENSGALG00000002458	20.366947	4.422009	25.08065	10.724053	15.670928	17.049877	33.130763	8.598974	9.077471
ENSGALG00000002459	1.963259	0.055788	0	0.012441	0	0.026261	0.061982	0.052921	0.04444
ENSGALG00000002460	53.318232	3.419355	12.747433	6.003481	14.852509	13.942335	24.593874	8.995034	11.201945
ENSGALG00000002461	1.306815	0.395198	22.416972	1.39192	1.756506	1.076357	14.506935	1.946026	15.164798
ENSGALG00000002462	52.547067	15.154715	26.534645	14.994679	55.517762	46.654563	76.541289	40.962556	36.215715
ENSGALG00000002463	14.865552	6.781039	11.665941	5.554942	15.098497	29.465576	28.396934	17.452863	11.174635
ENSGALG00000002466	36.410711	0.158937	1.456074	0.281323	1.999574	1.60627	1.810225	13.620015	15.768111
ENSGALG00000002467	2.689781	4.38945	156.431102	35.409749	33.610724	15.727348	31.095567	2.457708	64.156083
ENSGALG00000002469	15.155218	2.844003	21.201539	18.259465	16.432097	25.902354	26.153229	8.180466	10.435271
ENSGALG00000002470	2.556301	15.189656	40.18634	17.764592	9.676482	21.583489	2.676768	675.095507	10.850834
ENSGALG00000002471	21.212824	1.414603	6.912263	6.041529	8.926558	15.297313	15.507508	7.842826	5.066733
ENSGALG00000002473	8.035951	6.920851	2.955575	37.787038	23.883209	7.266443	22.609252	20.924204	1.55553
ENSGALG00000002475	19.326529	1.223241	3.985938	2.496423	30.033309	33.66666	58.265364	24.652945	17.689361
ENSGALG00000002477	4.790655	0.67061	50.047515	0	2.26527	2.27972	7.598883	0.819256	1.364099
ENSGALG00000002478	177.465833	12.439932	153.573793	77.726061	70.259178	106.296112	145.398629	32.659851	56.382823
ENSGALG00000002479	1.977214	0.338968	1.104062	0	1.954463	1.21217	0.659674	367.121747	77.568892
ENSGALG00000002480	4.417791	38.467998	1.087978	358.761263	0.513578	1.829677	0.918307	0.509151	0.984808
ENSGALG00000002484	63.790501	2.408929	71.503569	1.340749	18.921669	7.656822	12.587387	26.453422	48.563316
ENSGALG00000002485	33.471152	38.434193	47.858538	564.589593	61.948992	60.939354	69.278917	42.644709	68.420534
ENSGALG00000002486	17.894101	6.846584	26.413026	19.495366	13.454491	9.352329	14.595365	5.977965	6.527599
ENSGALG00000002487	37.969167	6.34176	24.585413	20.148435	26.954539	35.965731	49.588725	11.07857	19.248801
ENSGALG00000002488	134.757399	51.974354	71.542274	121.95972	48.097061	99.564422	99.649956	39.324599	85.088438
ENSGALG00000002489	19.788807	0.067143	6.08806	4.226138	5.549545	11.32593	17.839764	3.152114	5.32734
ENSGALG00000002490	145.670021	231.318785	163.62126	217.687446	142.802467	82.163425	99.229674	180.708038	178.034423
ENSGALG00000002492	5.845851	0.131675	5.283401	2.41007	19.326911	13.061631	9.756306	38.330601	6.11601
ENSGALG00000002493	0.646566	0	0.018233	0	0.191066	2.015184	0.074492	1166.561752	0.409876
ENSGALG00000002495	511.795211	751.727411	535.458741	600.19378	536.29444	251.881463	321.879969	718.130189	726.481539
ENSGALG00000002496	1.019403	2.31553	0.573782	4.216985	0.422189	2883.844608	0.731291	2.120549	4.45072
ENSGALG00000002497	44.805885	9.750206	20.729459	7.433847	22.317735	36.241175	31.763005	13.033546	17.310973
ENSGALG00000002499	39.820886	0.721415	10.268846	4.66843	8.194242	17.734723	14.841358	3.4603	6.93509
ENSGALG00000002500	9.706231	16.598847	28.990117	3.460091	60.330642	23.782687	34.561206	37.245304	13.442296
ENSGALG00000002501	12.305715	1.526364	11.452608	8.348205	24.208645	13.842978	9.819218	9.000266	5.111661
ENSGALG00000002503	0.561708	0	9.903655	1.302034	0.118247	6158.771991	0.048743	8.028182	5.837508
ENSGALG00000002504	2.514193	0.308236	3.440162	2.466288	3.076088	7.729528	8.263959	0.790877	2.610036
ENSGALG00000002505	35.379375	0.459648	11.630033	3.753196	6.5234	15.266607	17.973713	2.676256	3.926941
ENSGALG00000002506	74.589853	4.262952	6.200068	6.248676	12.340676	13.701391	9.846735	6.484941	6.00423
ENSGALG00000002507	0.313116	0.035324	1.385509	0	0.118179	1.664926	0.737111	231.241055	0.087199
ENSGALG00000002509	31.443497	3.893709	5.95359	8.337719	35.725831	25.264656	53.077483	8.100581	5.797364
ENSGALG00000002510	59.501872	7.403569	29.558638	4.843325	26.99228	41.86283	60.200008	10.942092	11.190758
ENSGALG00000002511	63.875431	0.149955	0.101106	0	2.370668	0.389486	9.065724	3.050511	2.133517
ENSGALG00000002513	1.58074	0.244043	0.066091	0.030127	4.918421	2.719362	2.683919	27.572705	63.800701
ENSGALG00000002514	86.013086	13.198288	38.731245	16.784059	54.607946	45.298414	74.016737	20.230504	31.274197
ENSGALG00000002515	0.779132	3.944226	904.38306	0.956477	3.990591	0.636829	1.851263	2.168768	0.732013
ENSGALG00000002517	7.90998	16.017405	28.42335	2.352739	29.292211	65.756889	36.477608	64.882062	44.056261
ENSGALG00000002518	0	0	0.054239	0	0	0.031613	0	0	0
ENSGALG00000002519	14.7093	2.255751	39.107349	5.253003	5.022794	3.451556	3.872268	12.155063	4.39419
ENSGALG00000002521	8.632517	6.290704	8.300838	1.283409	17.874118	14.325624	24.382598	15.438887	6.51778
ENSGALG00000002522	1.39608	25.769882	0.348485	85.020735	11.003722	0.562525	0.340073	4.090798	3.765844
ENSGALG00000002523	37.315351	16.849589	38.816175	30.927157	57.049085	95.00016	72.741792	44.787887	38.615478
ENSGALG00000002524	36.279466	12.716111	58.948141	32.848083	33.646483	34.217943	46.572099	18.12755	24.022885
ENSGALG00000002525	32.568773	0.337755	160.429281	0.871047	7.066732	26.097275	48.294151	0.667896	0.928695
ENSGALG00000002526	25.327209	10.253328	21.209149	12.205223	7.041615	9.039902	10.568829	8.432539	7.718083
ENSGALG00000002527	10.287652	0.238594	17.337056	16.659685	7.582059	15.108173	14.086162	5.421362	4.596499
ENSGALG00000002528	202.20239	33.302089	76.240553	64.859537	50.585908	74.668639	67.335091	14.673125	26.193291
ENSGALG00000002529	21.172978	24.332153	23.098919	32.583047	24.44854	15.073526	16.240884	35.894568	59.218855
ENSGALG00000002531	59.077467	8.423902	41.760721	21.041372	46.934031	64.957515	89.056031	27.770983	29.143135
ENSGALG00000002532	3.579981	21.368553	2.602795	2.792691	3.27631	30.317174	29.366461	10.590586	3.987668
ENSGALG00000002535	24.141128	4.685275	9.811898	2.144526	4.637579	4.599993	20.866708	2.417688	3.494614
ENSGALG00000002536	30.464159	2.889935	11.527575	31.953684	21.933285	23.358188	22.060157	3.962471	6.178061
ENSGALG00000002538	13.593788	8.462029	20.045946	22.460577	12.219138	9.546819	6.863063	2.763678	5.668305
ENSGALG00000002539	12.310596	0.804266	4.9324	1.263605	0.935839	1.522855	1.356946	1.1488	1.157703
ENSGALG00000002540	13.408963	31.701804	6.249717	49.739473	98.572074	25.433672	9.742179	15.71193	10.016291
