Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSOCUG00000000105	26.17	13.1	32.94	8.78	65.01	9	26.43
ENSOCUG00000000107	4.55	1.2	5.91	5.64	4.83	1.25	22.98
ENSOCUG00000000108	22.28	18.11	18.76	74.7	35.87	14.3	320.83
ENSOCUG00000000109	3.04	2.53	15.59	2.47	11.79	4.1	1.34
ENSOCUG00000000111	0.62	0.4	51.91	0.73	28.56	0.8	5.58
ENSOCUG00000000114	1.39	7.12	12.28	1.16	7.79	0.75	0.57
ENSOCUG00000000116	86.58	57.3	38.97	27.39	31.04	71.21	203.75
ENSOCUG00000000117	0.24	0.08	4.16	142.01	8.66	0.18	0.06
ENSOCUG00000000119	0.06	0.04	19.93	0.83	2.01	0	0.85
ENSOCUG00000000120	32.43	0.46	0.75	0.59	10.9	0.41	0.68
ENSOCUG00000000121	0.64	0.79	1.07	1.05	3.22	0.59	12.34
ENSOCUG00000000122	42.35	9.75	9.84	3.97	12.94	5.89	4.2
ENSOCUG00000000123	6.31	4.7	29.69	20.95	11.04	33.94	106.5
ENSOCUG00000000125	2.09	4.88	14.13	14.82	9.12	20.03	5.23
ENSOCUG00000000127	13.16	5.24	35.59	16.26	29.1	12.9	11.63
ENSOCUG00000000128	3.08	0.51	9.08	1.72	5.63	0.84	75.49
ENSOCUG00000000129	43.9	7.95	16.87	6.4	21.31	5.68	55.86
ENSOCUG00000000131	18.94	2.03	2.89	0.6	6.31	3.69	4.79
ENSOCUG00000000133	1.01	1.05	11.63	1.65	20.08	1.06	0.55
ENSOCUG00000000134	51.04	0.89	0.76	0.23	1.89	0.64	45.53
ENSOCUG00000000136	0.01	0.16	0	0.21	0.81	0	1.7
ENSOCUG00000000137	52.72	21.65	36.24	29.76	42.79	23.75	197.67
ENSOCUG00000000140	14.11	11.3	75.44	25.65	52.2	19.91	22.19
ENSOCUG00000000141	22.75	2.26	11.4	9.09	14.13	1.77	30.66
ENSOCUG00000000142	0.07	0.32	6.42	8.36	0.58	0.08	0.33
ENSOCUG00000000143	0.37	0.12	1.26	1.7	0.19	0.48	0
ENSOCUG00000000144	7.45	0	0.17	0.17	0.38	0.07	1.16
ENSOCUG00000000145	10.64	24.47	36.49	40.25	37.63	7.57	20.14
ENSOCUG00000000146	15.55	18.94	50.36	17.09	204.75	19.07	37.06
ENSOCUG00000000147	0	0	0	0	0	0	0
ENSOCUG00000000148	57.01	2.36	1.14	976.63	76.88	2.59	77.1
ENSOCUG00000000149	8.88	32.35	118.02	17.22	233.89	14.65	14.87
ENSOCUG00000000151	0.37	0.25	0.26	0.2	0.16	0.15	251.41
ENSOCUG00000000152	19.33	5.12	52.06	31.74	37.62	14.65	19.19
ENSOCUG00000000153	37.9	33.35	645.53	118.4	35.08	27.21	47.55
ENSOCUG00000000154	0	0	0	0	0	0	0
ENSOCUG00000000155	18.83	10.09	13.52	8.76	20.02	8.8	14.08
ENSOCUG00000000156	32.64	36.14	95.77	18.86	49.14	18.77	14.24
ENSOCUG00000000157	9.51	5.62	28.11	96.09	38.56	30.44	2.23
ENSOCUG00000000158	79.26	32.69	123.48	65.45	81.18	27.04	74.51
ENSOCUG00000000159	31.5	10.32	8.95	4.29	26.07	22.11	13.49
ENSOCUG00000000161	17.25	6.71	13.3	10.21	34.75	2.4	5.01
ENSOCUG00000000162	3.79	1.15	6.43	1.42	5.09	0.89	262.93
ENSOCUG00000000163	35.86	10.97	56.1	27.47	36.54	9.52	22.31
ENSOCUG00000000164	92.47	47.6	73.74	33.2	78.46	65.45	54.04
ENSOCUG00000000165	4.76	0.21	594.48	1.97	0.41	0.44	2.29
ENSOCUG00000000166	6.42	2.9	3.05	1.75	2.47	5.61	25.57
ENSOCUG00000000167	25.99	50.14	34.92	32.47	44.48	36.37	18.18
ENSOCUG00000000169	0.23	0	0	0	0	0	0.08
ENSOCUG00000000170	9.92	3.03	10.89	9.24	11.34	9.67	76.72
ENSOCUG00000000171	5.18	0	0.18	0.19	7.36	0.88	2.86
ENSOCUG00000000172	2.44	2.32	16.54	10.92	17.43	1.25	3.72
ENSOCUG00000000173	18.92	2.73	3.72	4.78	11.43	5.2	32.91
ENSOCUG00000000174	19.57	5.14	14.42	8.25	20.2	4.51	29.09
ENSOCUG00000000175	5.55	0	0.19	0	0	0	3.29
ENSOCUG00000000176	0.34	0	0	0.04	0.04	0	1.93
