Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSDARG00000040547	7.832839	37.507275	1.109624	0.431374	0.064046	0.313179	0.013593	0	4.499105	0.0369995	50.647324
ENSDARG00000040553	8.161733	18.880721	10.510981	6.894614	22.9656	5.5299	69.730508	12.154916	2.777087	16.0957035	22.656964
ENSDARG00000040555	23.959135	44.439944	54.680134	34.256705	82.918873	69.557862	18.238795	13.395381	17.656033	73.1318195	23.375656
ENSDARG00000040556	5.977808	16.439152	19.88532	9.713002	13.437654	4.894233	4.267622	1.764595	2.635539	8.5938585	41.49448
ENSDARG00000040557	16.875371	14.248351	50.033707	13.312401	31.059265	6.076149	5.572659	3.521961	9.124874	35.6117605	54.854168
ENSDARG00000040559	14.309405	6.77032	12.083129	11.981253	20.950716	7.797946	4.487737	1.171928	8.475739	29.9514105	174.713578
ENSDARG00000040564	15.089611	54.688801	125.899225	21.90352	29.36431	10.500317	26.92351	7.875762	9.284881	17.150889	85.052642
ENSDARG00000040565	25868.435649	9.110346	1613.448044	910.875186	18.814631	66.794345	61.549794	0.64736	38588.576956	1.531104	47.526698
ENSDARG00000040566	7.978888	8.127557	9.348616	7.039432	9.463815	6.938739	7.806664	6.461407	6.584077	6.6964695	17.92865
ENSDARG00000040568	4.119982	1.386689	4.863765	6.151758	24.202838	0.289429	53.196401	1.044129	0.429095	0.0282955	0.590185
ENSDARG00000040571	5.323146	23.301903	7.046289	7.950501	9.869574	5.008766	3.137964	1.221777	2.330818	8.6339545	18.712383
ENSDARG00000040582	2.463311	6.146796	1.426473	2.819972	2.963656	0.705617	1.364141	0.61955	0.811336	2.036003	3.295323
ENSDARG00000040584	16.556075	12.417462	32.499551	5.947916	31.6569	5.375112	6.538574	4.591909	6.617475	43.517181	32.538561
ENSDARG00000040594	0	0	0	0	0	0	0	0	0	0	0.151731
ENSDARG00000040599	0.715628	0	0	1.925503	2.403654	0	0	0	0	0	0
ENSDARG00000040601	1.831481	0	0	2.335389	5.164434	0	1.286917	0	0.889951	0	0.695298
ENSDARG00000040606	0.150699	0.199827	38.038405	11.984188	0.144416	0.064279	0.098785	0	0.537925	0.0086755	0.755652
ENSDARG00000040607	20.182359	40.643303	38.455118	33.529539	31.678936	19.494908	10.039204	3.822654	11.4924	30.2302885	90.472556
ENSDARG00000040608	1.103596	0.732675	0.816852	3.084548	5.724704	0.298761	10.397131	0.078515	0.274963	0	0.114014
ENSDARG00000040610	5.496171	7.987453	6.851104	1.263679	18.428319	0.488075	1.807142	1.290604	0.959467	0.6795455	2.637943
ENSDARG00000040614	19.123575	53.203373	33.887833	8.946719	37.824321	5.217769	4.193168	1.807126	7.066672	43.654603	25.059279
ENSDARG00000040615	3.539999	8.499159	11.187696	23.232619	7.504513	2.408749	2.560021	1.180401	1.696723	8.581022	20.163803
ENSDARG00000040620	23.247621	45.529241	24.388829	31.830755	38.904576	13.743724	24.777571	4.793161	12.267604	104.180487	47.385124
ENSDARG00000040621	1.473408	1.319167	0.858834	26.880603	1.511321	0.898659	0.537956	0.038425	1.067148	0.0779995	1.78078
ENSDARG00000040623	4.553032	25.072196	2.988743	19.766149	4.206104	3.265227	4.46245	0.342353	1.139124	0.269456	8.060756
ENSDARG00000040627	0.177622	5.843844	0.339954	0.668539	0.353323	0.022598	0.078249	0.047291	0.01542	0.229949	3.123329
ENSDARG00000040628	0.160001	0.576558	17.745455	90.732811	0.935771	0.038041	0.064763	0.025905	0.373789	1.466745	1.483622
ENSDARG00000040632	0.036141	0.149614	0.012903	0.12455	0	0	0	0	0.034537	0.016996	0.101316
ENSDARG00000040633	0.649674	15.408114	0.73252	0.208225	0.127563	0.96092	0	0	0.17987	0.2731975	2.55395
ENSDARG00000040635	7.62327	30.658945	8.464932	14.44542	14.918308	8.556172	2.696292	3.673364	2.855681	10.0854045	6.156471
ENSDARG00000040640	0.679501	1.424596	0.624512	1.28767	1.093935	1.235185	0.018977	0	0	0	2.915042
ENSDARG00000040643	0.178762	0.291696	0.05691	2.613715	0.134259	0.163993	0.016037	0	0.056879	0	1.100469
ENSDARG00000040644	1.210398	12.520998	8.875118	3.606904	2.057869	0.170636	0.832519	0.935026	0.395681	1.3628345	2.733278
ENSDARG00000040649	2.188421	2.903553	8.686856	5.640238	3.635156	2.555036	0.494395	0.322486	2.152075	2.893193	3.100584
ENSDARG00000040650	46.277744	51.349477	57.052149	33.407916	69.314948	18.572245	18.134822	3.385472	29.206542	99.969047	137.117309
ENSDARG00000040657	9.8415	52.514437	23.715233	12.09143	9.857696	11.926787	5.731549	1.276573	3.615137	4.5473115	25.096069
ENSDARG00000040666	42.758928	18.303399	83.709588	19.131208	99.598258	12.144427	21.135031	22.905361	18.698172	146.1922935	76.375136
ENSDARG00000040668	1.011445	0.663574	0.57961	0.579298	3.049444	0.169856	0.052292	0.05626	0.560739	0.110037	59.506382
ENSDARG00000040669	0.61771	0.747184	0	0.188209	0.53407	0.380166	0.437622	0	0.295051	0	0.233418
ENSDARG00000040674	29.962263	15.805155	23.821242	32.907495	29.492471	67.536826	18.06069	4.56359	26.672983	18.788666	7.604241
ENSDARG00000040678	8.459212	26.251749	17.72909	16.757967	18.145849	6.532348	11.300205	1.959348	2.978439	11.9700535	16.06614
ENSDARG00000040683	0.561041	2.247764	0.341839	0.394886	1.484065	0.160297	101.108647	0.152794	0.112551	0.093957	3.939899
ENSDARG00000040684	12.556292	19.314594	6.944219	12.155124	1.156554	1.44014	0.737757	0.147615	0.332997	0.047698	2.983326
ENSDARG00000040695	7.481863	2.536017	40.073787	6.51732	11.005348	2.525964	1.225177	0	2.715741	26.1322125	7.760708
ENSDARG00000040698	1.979971	9.798422	8.466393	6.274675	3.804278	2.026018	2.511752	0.93878	1.092819	1.2454285	14.811292
ENSDARG00000040700	0.564527	11.291437	2.256084	2.774329	1.280958	0.405237	0.718968	0.109251	0.555987	0.528663	1.208675
ENSDARG00000040701	0.0117	0.048036	0	0	0.048995	0.01337	0	0	0.027372	0	0.304462
ENSDARG00000040703	0.050396	29.22443	0.657229	0.033245	0.041036	0.061425	0	0	0.039407	0	1.25168
ENSDARG00000040705	24.338853	181.667368	12.954085	19.264358	69.481902	7.275032	14.671339	2.317188	14.775921	10.0806545	38.488645
ENSDARG00000040707	8.243086	22.468062	3.075783	10.83559	18.876817	7.679365	2.595378	3.661079	3.436744	21.5391045	14.948749
ENSDARG00000040712	14.149709	12.088795	12.368502	7.438721	23.858148	8.851345	0.882012	2.498701	14.463834	21.8006195	20.559543
ENSDARG00000040713	20.13066	38.435333	62.484833	30.217198	27.717161	14.137066	19.828244	11.496097	9.128162	21.9534815	48.898785
ENSDARG00000040717	8.084281	0.598915	3.832215	10.420696	29.680248	0.2761	0.827157	1.170504	3.22138	49.8365945	14.60268
ENSDARG00000040725	12.861603	1.519703	79.877752	2.518822	43.059821	0.664479	1.962483	0.768641	5.635642	60.584324	79.717818
ENSDARG00000040727	5.529056	17.287281	5.501993	7.036736	14.468081	4.306717	4.484319	2.653535	2.992473	14.397408	19.258746
ENSDARG00000040730	22.768592	17.533844	47.299831	9.972668	55.092973	6.731894	8.72712	4.555718	8.294852	74.3676275	29.923188
ENSDARG00000040732	6.215479	0.173997	0.561677	0.253292	22.540781	0.024059	0	0	3.390904	65.056556	186.370744
ENSDARG00000040735	0	0	0	0	0	0	0	0	0	0	0.243776
ENSDARG00000040736	0	0	0	0	0	0.04771	0	0	0	0	0.499655
ENSDARG00000040738	0	0	0	0	0	0	0	0	0	0	0.314636
ENSDARG00000040741	2.991147	25.91051	1.279795	1.534316	0.835837	0.413131	0.257254	0.063396	0.224548	0.179898	7.416309
ENSDARG00000040747	2.573235	4.67369	0.872107	1.386816	6.182622	1.27082	517.994454	22.217889	0.145343	0	0.485408
ENSDARG00000040764	79.628905	198.857953	787.302728	516.756719	42.211909	27.552043	23.241755	4.114774	32.938873	7.874437	134.949066
ENSDARG00000040765	0.027768	1.6821	0.024559	0	0.057456	0.015813	0	0	0	0	0.274029
ENSDARG00000040777	0.960971	7.095571	14.491497	20.016952	2.015508	9.46523	1.41696	0.224745	0.421369	0.1026415	13.838379
ENSDARG00000040778	5.417831	20.928565	15.957193	15.310419	9.693848	120.922778	6.852291	1.913837	2.659268	1.3174265	17.174378
ENSDARG00000040779	3.444878	7.154194	14.907897	4.561109	8.461803	2.088521	2.445529	0.607096	1.284009	16.781795	16.306215
ENSDARG00000040781	0.016986	0	0.070738	0	0	0	0.612436	0.420112	0	0	0.091023
ENSDARG00000040799	6.598399	79.847146	2.981232	0.158657	0.252922	0.654324	65.40348	0	0	0.319325	0.481975
ENSDARG00000040803	11.393247	9.533399	8.450679	7.577659	30.975823	4.855186	4.926483	1.203351	6.404541	123.3644095	16.115538
ENSDARG00000040812	7.550849	3.143281	0.511458	6.62072	15.279624	1.335048	9.884598	0.172846	1.530829	0.036938	5.939857
ENSDARG00000040815	6.958425	12.655931	7.011857	18.671263	7.10974	9.157018	63.977506	63.035835	2.813901	1.59277	41.64506
ENSDARG00000040816	0.773402	0.040581	3.641759	0	0.022505	0.011272	0	0	0.280538	0	0.195959
ENSDARG00000040822	36.957585	271.283635	55.296316	41.41556	40.571777	59.683841	12.958486	1.969582	25.834881	31.457826	122.81801
ENSDARG00000040838	37.331366	42.229253	51.110717	9.51593	11.268563	19.382564	2.14077	1.129595	47.922555	26.3710605	14.749801
ENSDARG00000040841	0.417088	6.511608	0.301003	3.791842	0.626087	0.103883	1.930019	0	0.122766	0.1237	1.947709
ENSDARG00000040851	0.751963	1.088634	2.24492	4.118792	1.467934	1.077218	0.174981	0.100585	0.538458	1.192465	17.375389
ENSDARG00000040853	4.675048	22.416146	16.943239	14.256641	10.834893	7.037276	10.314922	3.818824	2.105127	45.088898	16.598033
ENSDARG00000040854	15.003389	69.735907	26.265071	18.713285	27.161834	15.555631	6.374325	1.512599	12.287225	29.2562995	34.083848
ENSDARG00000040861	20.480191	36.17574	31.520197	25.627976	35.737484	11.537081	20.35324	8.831765	9.586196	46.9790165	38.958725
ENSDARG00000040864	10.236331	29.749355	69.095763	29.110835	19.12317	11.098266	15.472713	3.0225	3.198693	5.1767125	42.346619
ENSDARG00000040869	16.508816	21.48635	1.085545	3.249474	140.323915	2.244117	13.762683	29.058464	1.482651	0.420796	6.245813
ENSDARG00000040874	33.989875	59.263842	57.246556	32.184489	68.642752	103.87504	27.910399	5.796743	25.417764	14.9892655	62.645514
ENSDARG00000040881	7.95869	28.106587	11.585705	8.457319	8.432735	6.741931	4.707506	0.909819	7.523827	12.0706465	80.187577
ENSDARG00000040884	20.409727	84.349842	47.437713	56.844949	52.106935	145.715539	12.390641	1.889886	6.566032	10.2595285	46.325451
ENSDARG00000040890	19.14291	31.765772	43.186914	10.337852	32.130735	10.381169	20.488246	3.767429	19.932582	49.83887	42.943858
ENSDARG00000040898	2.666178	0.063896	0.027444	0.541951	36.136152	0.07103	74.697144	1.10456	0.074685	0	0.747235
ENSDARG00000040901	0.294976	0.267269	0	0.859693	0.12676	0.272352	0.323478	0	0	0	0.189479
ENSDARG00000040902	0.058914	0.120205	0.103373	0.109577	0.123609	0.023548	0	0	0	0	0.124426
ENSDARG00000040907	0.426222	2.419793	1.727955	0.146247	0	0.286032	12.49982	0	0	0.1410455	0.747971
ENSDARG00000040910	7.845452	0.287437	3.937995	14.937775	33.573812	0.181441	17.960761	11.214693	2.990631	90.347046	9.346444
ENSDARG00000040911	1.983139	0.516628	0.159231	1.539958	0.112434	0.410336	0.089065	0.150381	3.496993	1.76576	0.607801
ENSDARG00000040912	7.554485	6.710301	21.318486	8.205109	13.433307	2.073381	7.060192	1.203696	4.543524	28.464644	11.50705
ENSDARG00000040917	12.533611	5.219907	22.848462	20.01671	12.949352	3.431317	6.852293	0.644232	1.923719	1.8184755	5.585452
ENSDARG00000040920	5.103545	14.588026	9.885627	2.603402	6.613929	14.300471	1.924459	0.757107	3.142122	0.2429265	2.763445
ENSDARG00000040921	0.093329	0.110753	0.032556	5.512386	0.124458	0.058127	4.895636	0	0.093406	0	0.190255
ENSDARG00000040925	0.167227	1.162358	7.529857	0.040779	0.151701	0	0	0	0.081385	0.4620725	7.346484
ENSDARG00000040926	7.277709	71.203845	97.689696	5.647267	13.074048	6.855495	3.969447	2.16346	3.625988	11.720067	41.171992
