Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis	Tau	Mean	Max
ENSCAFG00000000001	0	0.871843648509318	3.1554254317472	4.19455988602261	0.641546029087524	2.21723071622067	0.67166777861435	1.67889621288595	4.19455988602261
ENSCAFG00000000005	0.505890929729957	0	0.879705766282288	0.475084882948783	0	0	0.776976382268261	0.376808280175613	0.879705766282288
ENSCAFG00000000007	3.46336088581666	2.30742852519225	3.16671544496642	1.94485844580754	0.594548549550354	4.03033607837096	0.430473706005573	2.27681737652996	4.03033607837096
ENSCAFG00000000008	5.50557340028202	4.72027846523333	4.3533232911629	2.70043971814109	5.25814199589377	3.68818035858693	0.247294974653989	3.78189031485057	5.50557340028202
ENSCAFG00000000009	4.41953889151378	3.5957423394744	5.71726514496006	4.18824265626441	4.37781785308364	3.80219321694183	0.286948062038132	3.76967830918232	5.71726514496006
ENSCAFG00000000010	3.93828579188405	2.83995958748953	3.58496250072116	2.80322703643493	2.91073266190291	6.99333470429383	0.540214554050691	3.37295954811102	6.99333470429383
ENSCAFG00000000011	2.01077983875324	3.51096191927738	3.35614381022528	2.59693514238723	4.72191944555154	3.6667565918848	0.358668546673637	2.8888807563933	4.72191944555154
ENSCAFG00000000012	3.80219321694183	1.71369581484336	3.02147972741045	2.27798474729977	1.23266075679027	5.27872821293894	0.543525873002735	2.55289547846105	5.27872821293894
ENSCAFG00000000013	2.17951105027151	0	1.29278174922785	0	0	0	0.881369562309234	0.621951765972656	2.17951105027151
ENSCAFG00000000016	11.7675803179778	0	3.43829285157915	2.07382023329167	3.21256933885081	0	0.851716628432226	3.0491399100188	11.7675803179778
ENSCAFG00000000017	3.27798474729977	1.70043971814109	1.81966818349646	1.72246602447109	1.54101915313356	4.11935617703968	0.511497554757569	2.09891879404846	4.11935617703968
ENSCAFG00000000019	2.47767732756531	1.62760683812965	2.96901230751632	1.37295209791183	1.0071955014042	6.44592529857927	0.706653625830534	2.3724318567053	6.44592529857927
ENSCAFG00000000020	4.0241423458978	2.84799690655495	3.55458885167764	2.90496571868403	1.70043971814109	3.80219321694183	0.26393337317717	2.72832287586779	4.0241423458978
ENSCAFG00000000021	4.79753183957196	4.86839045305445	5.17672169288105	5.04133060682062	5.13709360897494	4.76659516172927	0.0491688319271308	4.26240459927992	5.17672169288105
ENSCAFG00000000022	2.48542682717024	0.84799690655495	1.02147972741045	0.411426245726465	0.604071323668861	2.77399632511117	0.61280402703376	1.2510287689537	2.77399632511117
ENSCAFG00000000024	2.56559717585422	0	6.62935662007961	0	0	0.0426443374084937	0.921312378780087	1.4512729303032	6.62935662007961
ENSCAFG00000000025	3.25247621413522	0	0	0	0	0.505890929729957	0.968891952074462	0.675322727991377	3.25247621413522
ENSCAFG00000000026	3.86096279785812	4.78083500173823	7.41878026595992	8.37125391295473	3.57531233068744	5.72465027173297	0.394104134657041	4.87512838794121	8.37125391295473
ENSCAFG00000000027	7.50159837423479	6.81531924577731	7.89263388342444	7.72880485491776	8.01708677336272	7.47969943851347	0.0665423275399331	6.50024069968149	8.01708677336272
ENSCAFG00000000028	4.95140129167431	4.55642941544957	4.96670731415032	3.62175885670973	3.99457972421575	5.74738739965272	0.231272400272357	4.00993377173211	5.74738739965272
ENSCAFG00000000029	2.90110824301451	0	0.356143810225275	0	0	6.42206476617281	0.898560597819043	1.51112534531881	6.42206476617281
ENSCAFG00000000031	6.23419472295381	0	0	0	0	1.33342373372519	0.957222262281426	1.21783438842292	6.23419472295381
ENSCAFG00000000032	4.86245139132558	0	0	0	0	0	1	0.837493055903655	4.86245139132558
ENSCAFG00000000033	5.13134253912326	4.86294724802092	5.83617662480922	4.98595575460751	4.8860623383456	7.29801673077034	0.295630978851059	4.75659031636113	7.29801673077034
ENSCAFG00000000034	0	0	0	0	0	7.2215871212648	1	1.17451244589497	7.2215871212648
ENSCAFG00000000036	4.08746284125034	3.39917109381982	3.20789285164133	3.65878273401283	3.3547342399706	1.94860084749336	0.238198248076286	2.8421204080378	4.08746284125034
ENSCAFG00000000037	1.27500704749987	0	0	0	0	3.73443866613717	0.931716267879225	0.848737425930895	3.73443866613717
ENSCAFG00000000038	0	0.189033824390017	0	0	0	0	1	0.16986197491286	1
ENSCAFG00000000039	6.47362458305826	3.97819562968165	0	0	0	2.23572705983806	0.80802338443345	1.92793866528735	6.47362458305826
ENSCAFG00000000040	0	0.37851162325373	0	0	0	0	1	0.19693023189339	1
ENSCAFG00000000043	5.00135189299996	4.30305008468167	4.33485426933163	2.12763327972587	3.20945336562895	2.81966818349646	0.328395220245514	3.16062947087287	5.00135189299996
ENSCAFG00000000047	1.81557542886257	0	0	0	0	0	1	0.402225061266082	1.81557542886257
ENSCAFG00000000049	1.6959938131099	0	0	0	0	0	1	0.385141973301414	1.6959938131099
ENSCAFG00000000052	2.41413553298445	0.739848102699327	0	0	0	0	0.938706995312339	0.584670090142302	2.41413553298445
ENSCAFG00000000054	0	0	0	0	0	0.250961573533219	1	0.178708796219031	1
ENSCAFG00000000056	3.69041709553247	3.73876783680019	0	0	0	0.903038270112912	0.754279721761131	1.29807184631524	3.73876783680019
ENSCAFG00000000058	0	0	2.16349873228288	0	0	0	1	0.451928390326126	2.16349873228288
