Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis	Tau	Mean	Max
ENSGALG00000000003	4.08006784545917	0	0	0	0	2.90981380234985	0.857364440368889	1.12103515545399	4.08006784545917
ENSGALG00000000004	4.44626503162604	2.03923316638066	2.71155723853966	1.55959459697651	4.38306328249192	4.7791765502311	0.366430046812868	2.89790284472268	4.7791765502311
ENSGALG00000000011	4.16186479250863	2.6849264308306	2.39891507820331	1.17878920371897	3.59985096857818	5.03622078928396	0.443060697272026	2.78623256577081	5.03622078928396
ENSGALG00000000013	3.44438016884954	2.39542205716008	3.25497174871048	3.64273356719712	2.81772516343428	5.87090253495403	0.470090582742972	3.1280322604355	5.87090253495403
ENSGALG00000000014	0.711675507549127	0.0393124896649635	0	0	0	3.35196465492421	0.955191174458785	0.722591975228155	3.35196465492421
ENSGALG00000000017	3.57793946680657	4.63555950402232	3.22140290852165	3.67626515123183	3.90954252327516	1.43931462047072	0.317257618780434	2.96818311330124	4.63555950402232
ENSGALG00000000019	6.90602726908412	1.69690322579542	4.11775122025384	2.90244892069547	2.40133556312194	3.70478146126926	0.570716424550064	3.18570915496716	6.90602726908412
ENSGALG00000000033	5.69480000680592	5.84438070641022	5.37881899552817	4.85549687500044	5.77277666384404	7.0710893589022	0.220876109763506	4.97689124517921	7.0710893589022
ENSGALG00000000038	0	2.28709191959673	0	0	0	0	1	0.469584559942391	2.28709191959673
ENSGALG00000000040	3.52852881249814	7.3046214300412	6.29183846305199	7.42676211356698	6.38363416024045	2.89747859583381	0.288893300798534	4.87453669657587	7.42676211356698
ENSGALG00000000041	6.69687282670962	4.1384927421757	5.01979943982138	5.28844158491088	4.14241057862253	7.35662759197171	0.312564980186445	4.70788710634261	7.35662759197171
ENSGALG00000000043	7.00679259184763	5.38520308717532	6.07488676078872	6.49600662578909	6.38189851547046	6.83195499671172	0.110293345283221	5.46957656043802	7.00679259184763
ENSGALG00000000048	2.56956789106565	1.38247746292771	6.14844320787067	0.64285311038296	0	1.32690487792877	0.807372268325597	1.83965983121448	6.14844320787067
ENSGALG00000000049	5.40921135186061	0	0	0	0	4.26334357531295	0.842367276928586	1.50213174344316	5.40921135186061
ENSGALG00000000054	6.65313675141673	5.4181010757338	6.88303693691672	6.59989886136332	4.43797972349668	7.52682341492301	0.203059466242732	5.38886231858471	7.52682341492301
ENSGALG00000000055	6.34504330553827	4.8053774874806	5.92941860843703	5.50425160004499	5.55976821150152	5.64924626007772	0.134818760225519	4.84684631904366	6.34504330553827
ENSGALG00000000056	2.2615621058914	0	0	1.5735257688046	2.97102386023259	3.31899832664165	0.589869528990368	1.53071137008009	3.31899832664165
ENSGALG00000000059	9.21529709921434	0	0	0	8.23455399609521	1.61441774240747	0.786247331313011	2.83578802414715	9.21529709921434
ENSGALG00000000062	5.00456381778191	1.86097074109869	3.3787535318319	3.09026641186145	3.84411796022928	3.77180657665317	0.362745054223649	3.04474629909715	5.00456381778191
ENSGALG00000000065	5.7533172094137	4.63039760793414	5.11303249807042	5.34823482750667	5.86513635098512	6.05561929258187	0.117840233892182	4.69765400291201	6.05561929258187
ENSGALG00000000067	4.10969444699251	0.926852634222549	6.41009817554121	7.6069357973948	1.20578347666268	2.39053892670971	0.604493371292011	3.32205668983078	7.6069357973948
ENSGALG00000000071	1.78500475617306	0	1.83048574749298	0.539661091793485	0.123662223905787	3.14205459842506	0.72764229994539	1.16407295967654	3.14205459842506
ENSGALG00000000075	4.00837734525637	1.49889929619351	3.78447896064329	3.35076397956709	5.27101238846226	4.10186552308236	0.364661515825899	3.1971512870044	5.27101238846226
ENSGALG00000000076	4.67197656573292	3.16967266804381	3.60555762519766	3.69145074972172	3.4270343446339	1.33416435604316	0.348118316545907	2.89256780370272	4.67197656573292
ENSGALG00000000080	1.14353839932085	0.654967058630039	0.117665789570506	1.27940235367808	0	5.11323187217961	0.875007678858213	1.31197330746247	5.11323187217961
ENSGALG00000000081	0	0	0	0.718820584985259	0.555386226771244	3.88333586565062	0.934375657638718	0.870274047863691	3.88333586565062
ENSGALG00000000085	5.87711438099295	1.47937596180822	5.95844239941575	3.7956689849646	2.54414927877046	3.73444603676167	0.414922441978895	3.40058849781322	5.95844239941575
ENSGALG00000000086	6.20751325502838	4.79532434815252	4.46698843368694	4.10477954953104	5.65944698611436	6.3415165282742	0.204163469100646	4.5399617956983	6.3415165282742
ENSGALG00000000091	3.59690306889303	1.45047331857844	4.31041123558065	3.53350940187322	2.17493335022972	4.58143398582757	0.342291936465235	2.85570804249255	4.58143398582757
ENSGALG00000000094	5.18499214194364	3.38779870264182	3.26551235950861	3.39577574255117	4.17238118163873	6.32057854401073	0.385927728192756	3.73042377149821	6.32057854401073
ENSGALG00000000098	3.04936398386748	0	0.797316015756974	0.0620871641991095	0	0	0.943633939109748	0.693200157561902	3.04936398386748
ENSGALG00000000099	0.104622486423276	0	0	0	0	2.91059030385291	0.992810909437527	0.572574814244816	2.91059030385291
ENSGALG00000000102	4.50065274168781	0	1.36399635982091	0	0	6.14623358029091	0.809162830377458	1.83143507316815	6.14623358029091
ENSGALG00000000104	1.70063990593252	0.366886730906635	1.55421701818284	2.08906826130072	0	1.48919866177719	0.510696475411776	1.1015295790731	2.08906826130072
ENSGALG00000000106	3.94147501517787	0.53103155284193	2.70095078555952	2.45710989784736	2.76613397682417	6.45885142382097	0.6161329495046	2.78166937165378	6.45885142382097
ENSGALG00000000107	0	0.0167544557753858	0	0	6.5730074887559	0	0.999490204269384	1.0841788784001	6.5730074887559
